tgt,src
i thought that you will dare him,كان كيسحاب ليا غادي تحداو
Why don't you want to get upset at him,علاش مابغيتيش ت تبرّس عليه
where will you live,فين غادي تسكن
What's she doing to you?,أش كادير ليك؟
i will confronte my teacher,أنا غادي نقتابل مع أستاد
Thank you for listening to me for once!,شكران على سماع ليا مرة واحدة!
i think if he blocked me,تانفكّر واش راه حيدني
That's a good idea,فكرة زوينة
if only you taught me before,كون غير قدرتي ت عارفيني من قبل
I forgot the puk code,نسيت كود البوك
the ice cream melted quickly in the sun,البرد دحل بزربة فشمش
add another 30 please,زيدو 30 أخرى عفاك
I dont think i will cheat,مانضنش غادي نخدّع
show him and leave him,راجلو و خليوه
i'm revising ,أنا كايعاود ليك
Don't interupt me,بلا ماتقاطعني
if only i negotiated better,كون غير قدرت ن تفاوض على هادشي لي كان عيان
he went from hamam,خرب من حمام
i will pay lunch today,غانخلص غدا اليوم
like its a prank,كايبان هادشي كايعجبك
 you are too late to change your work,تعطلي بزّاف باش تبدل لخدمة ديالك
I'm broke,أنا فاشل
the cemtery is good,القبرة مزيانة
it's fun,راه ممتع
do i lend you,واش نقدر نعاونك
come today,جي اليوم
he explaing counting,كايفسر ليا العد
i don't have control over it,ماعنديش شي تسلط عليه
I felt that you are far from me,حسبت بلي بقا بعيد مني
wont we go to the restaurant,واش ماغاديش نمشيو ل ريستوران
what has the doc told you,أش قالك طبيب
are you sick,واش نتا مريض
i will not excercice,مابقيتش باغي نستمر
we are sorry for the delay,سمح لينا على هاد التأخير
i didnt understand explain ,مافهمتش أشرح ليا
from the day I born I haven't lost single gram ,من نهار لي ولدت أنا ماخسرتش تا واحد غرام
they will take care of the bill,غادي يديرو ليك ليك
I'm waiting for you to  bottle up your job,كانتسنّا فيك ت قديّد ديك لخدمة ديالك
my card is not working anymore,البارت ديالي ماكاتعملش
He is not here,راه ماكاين هنا
Get your life together and secure your future abroad.,جمع حياتك و تأمن مستقبلك ف الخارج
i went to it after 1month,مشيت ليها من شهر
where are you going,فين غادتي
Did you fast yesterday?,واش صامتي البارح؟
i will go to my aunt,أنا غادي نمشي عند خالتي
i drank two liters of watter,شربت جوج ليتر ديال الحيت
I have everything at home,عندي كولشي فدار
people understand whatever they want,ناسي كايفهمو لي باغي
I took it from a certain girl. ,خديتها من واحد البنت
why are you shouting?,مالك كاتغوت؟
can you make like her ?,تقدر تعجبها؟
"yes, it is forbidden to swim here",آه، ممنوع السباحة هنا
I remembered the bride with her wedding dress,تذكرت العروسة فلبسة ديال العرس
I'm here to see you because I don't understand what's happening to me,أنا هنا باش نشوفك حيت ماعنديش فهمة أش كايحصل عليا
Why dont you want to make a time for me,علاش مابغيتيش ت دير ليا شي وقت
I dont think it will require a lot of effort,مانضنش غادي يتطلب مزيان
there are two types,كاينين جوج نوع
i became yellow,و أنا ديت صفرا
you are jealous,نتا غرس عليك
Let me watch him,خليني نشوفو
I'm having trouble at work,عندي مشاكل فخدمة
I dare you to teach him how to read,نتحداك ت علّمو كيفاش قرا
I don't know,ماعرفتش
and i went to my step mother,و مشيت عند ماما الخي
they still young,راه مازال صغير
i'm afraid he dies,خفتو غاتموت
i posted a story in the summer,أنا سدرت شي قصة فصيف
i learned a lot,علمت بزاف
when his wife died he stopped show up in factory,فاش ماتات زوجة مابقاش يظهر فصنع
i was walking,كنت كانمشي
give me cigarette,عطيني شي سيكريت
go burry yourself,سير ديبك
everything is obvious,كولشي واضح
Why don't you want to extend your vacation,علاش مابغيتيش تديّد فالعطلة ديالك
the cars are many,طوموبيلات بزاف
well,واخا
only time kill us,واحد الوقت لي كيدمرنا
I hope there'll be enough room for dessert afterwards!,كنتمنى يكون غادي يكون مساحة كافية ل ديسير من بعد!
What happened?,اشنو وقع؟
how do you choose one,كيفاش كتختار واحد
I'm waiting for you to find a house for rent,كانتسنّا فيك ت لقّي شي دار باش تكري
we come up to an understanding ,راه وصلنا ف تفاهم
when does the train for the city leave?,امتا كايمشي القطار ديال المدينة؟
i used on all of them,كانسخر فيهوم كولو
you are too late to take cover,تعطلي بزّاف باش تقتع
i like sea,كايعجبني البحر
i want to discuss something with you,بغيت نتناقش شي حاجة معاك
if you like something there take it,إيلا بغيتي شي حاجة فاك ڭولها
I don't know what you expect from me,ماعرفتش شنو كتوقع منّي
I dont think that rdv will be important,مانضنش غادي يكون هاد الرد مهم
Have you tried to race me,عمرك جربتي تسابق معايا
I think if finish in time,تانفكّر واش نستمر فالوقت
we capitalized on the opponent's mistakes,كسبينا على أخطاء ديال خصم
"Loubna spent ages showing me how to switch it on, charge it up, how to send emails",لوبنا كايمشي عمرين كايعرض ليا كيفاش نديرها، كيفاش تشارجيها، كيفاش نرسلو ليكايميل
are you insane or what,واش نتا عجبك ولا أش
I live in argentina,كانعيش ف الأرجنتين
I'm waiting for you to lose weight,كانتسنّا فيك ت خسر ليا لوزن
i call you you don't answer,أنا كايعطيك ليك ماكايتجاوبيش
Giraffe can not swim,الزرافة ماكاتقدرش تعوم
this where i arrived,هادي لينا وصلت
teachers didnt come today,المعلمين ماجاوش اليوم
What's gotten to my head are people? ,هادشي لي دخّل ليا راسي ناس؟
nice to meet you,فرحان ليا
I crave hot bread,أنا كنت عايز الخبز سخون
if only I could print all the paper,كون غير قدرت ن طبّع هاد لوراق كامل
when i was a kid i liked math,فاش كنت صغير كانعجبني الرياضيات
i'm going to exercise at the gym,أنا غادي ندير فالمستوع
"hey, i was thinking, it's been a while since we went out to a nice restaurant",سلام، كنت كايفكّر، راه مرّا شوية منين خرجنا ل شي ريسطورة زوينة
one killo of almonds,واحد كيلو ديال ليمون
do what she pleases,دير داكشي لي كايسعد
its better to go,راه مزيان نمشي
Well I can tell you for nothing I am not going to work in here,واخا نقدر نقول ليك بلا ماغاديش نخدم هنا
What kind of instrument were you thinking of?,أشمن نوع ديال الأدوة كنتي تفكّر؟
i thanked him,شكنتو
do you have takchita,واش عندك تاكشيتا
"It happens just bear with it, it's hard to find someone that will bring you what you saw. ",كايبدا غير تحملو، صعيب تجي شي واحد لي يجيب ليك داكشي لي شفتي
i thought that he catched a fish,كان كيسحاب ليا غادي يقتاد شي حوت
this blood matches,هاد الدم كايتماش معايا
do we eat i feel hungry,ماكلة ماكلتش
don't forget to call your mom,ماتنساش تليفون ل ماما
I'll contact the team immediately.,غادي نتواصل مع الفريق دابا.
hey man are you good,أيه أليا ألي كادوزك
I don't like it; it remains oily on the face,ماعنديش هادشي، باقي زيت على الوجه
turning a blind eye,كيدير عينك
at the end of the month i will get paid,فايتايم شهر غادي نتلقى ليك
auntie wont you come ?,عمتي ماغاتجيش؟
He is lisening to music,كايسوق مع الموسيقى
When was it sold ? I put 20 dirhams on it.,إمتا بيعت؟ ڭليت 20 درهم عليه.
Does he talk alot,واش كايحضر بزّاف
I'am not joking,ماشي أنا كانضرب
revise your choice,ريزو ليا خترتك
I need half hour ,خاصني نص ساعة
we go to the gym tomorrow,غانمشيو ل صالة غدا
i dont think speak to you badly,مانضنش غادي نتكلم معاك
Africa is a big continent,أفريقيا قاري كبيرة
Let me understand,خليني نفهم
you asked me to warn them,طلبتي مني ن تحذّرهم
how did you met him,كيفاش تلاقيتي معاه
i wanna play,بغيت نلعب
the game is ,الماتش هادي
Why don't you want to be in a relationship,علاش مابغيتيش تكوني ف علاقت
look its in the fridge,شوف هادشي فالبرداب
Really?,بلي؟
this shop is much nicer,راه مزيان هاد المحل
me also i train here,أنا كايتدرب هنا
can i help you,واش نعاونك
she wanted a half half,هي بغا تفرق
if your wife didnt give birth will you blame her,إيلا ماتلقيتش ليا راسك غاتلومها
When are you going to pack your bags for the trip?,امتا غادي ت حزم ساكات ل سفر؟
paper at dest,الورق ف ديس
i will not go through door,مابقيتش باغي ندوز من الباب
You do like to gamble and drink a lot,كيعجبك ت قمار و تشرب بزاف
Don't fool me,بلا ما ت خدعني
dont stay depressed cheer up,ماتبقاش مكتئبا هاني راج
i will not support you,مابقيتش باغي نعاونك
I have a few,عندي شوية
peculiar,خاصة
from my pov,من لوربي
people are enjoying,ناس كايستمتع
I'm interested in history,أنا مهتم بالتاريخ
you got paper from bank,عندك الورق من البنك
Then the note is 30 points,و بعد هاد الملاحة 30 نقطة
Go out what are you waiting for,خرج أشنو كاتسنّا
what are you having for diner,أش غادي تعشّم
I am looking forward to hearing about his trip to France,كانتسّر نسمع على رحلتو لفرنسا
there is veggs,كاين الخضرا
just me,غير أنا
why you dont wanna fight me,علاش مابغيتيش تڭدّع معايا
dont come to me,ماتجيش عندي
sometime i don't know what to write,بعض المرات ماعرفتش أش كاتكتب
The first one to come with a bagpipe will be sent directly back to Scotland,أول واحد لي جاي ب بيبيب غادي يرسل مباشرة لسكوتلاند
For my own good?!,من أجل خير ديالي؟
he was muscular,كان كايعيش معو
Are you free tonight?,واش نتا حرّا هاد الليلة؟
i want to rent a place,بغيت نكري شي بلاصة
we don't have like this,ماعندناش بحال هكا
there are jelaleb o gnader,كاين جليلوب و غاندور
you will do an operation,غاتديرو العملية
"Listen, can you hear that noise?",ڭالّس، واش كاتسمع هاد الصوت؟
you should never make a good sentence,عمرك ت دري جملة مزيانة
you need to be conscient,خاصك تكون واعي
I think of taking a picture,تانفكّر واش نستوڭ ليك
I'll be right back,غادي نرجع دابا
How are you?,كيفاش نتا؟
life of single,الحياة ديال العزاب
It is five minutes to twelve,راه خمسة دقايق من الخامسة و العشرة
he bought me as well,هو شريني
i hear screams,كانسمع الصراخ
dont harm him,بلا ما تخلّي عليه
i dont think he will act well,مانضنش غادي يدير مزيان
I dont think  i will tackle this player,مانضنش غادي نستدب هاد لعب
be peaceful,كوني هادية
only family can be trusted,غير العائلة هي لي يمكن تكلّف فيها
I'm thinking if this decision is correct,تانفكّر واش هاد القرار صحيح
i went to academy,مشيت ل أكاديمية
you will stay over at your aunt,غاتبقى عند خالتك
be a man ,كون رجلا
say bismilah,قولي بسم الله
I have something to help you out,عندي شي حاجة باش نعاونك
why you dont wanna bother me,علاش مابغيتيش تخلّصني
this is life,هادشي الحياة
do you like animals?,كيعجبك الحيوانات؟
we both need to talk,خاصنا نتحضر معا
I wasn't gossiping,ماكانش كانشطّ
she heard the story,سمعت القصة
I really enjoyed,حقّا استمتعت
he want to exploit your money,بغا يستغل فلوسك
"How was your day, sweet one?","كيداك نهارك, حلوة?"
I need a comfortable chair,خاصني شي كرسي مريح
there some things difficult to forget,كاينين شي حاجة صعيبة تنسا
he need to prepare everything in time,خاصو يجي يعد كلشي فالوقت
take this 10 dirhams,خدي هاد 10 درهم
Have you tried to take the best price,عمرك جربتي تعاود ل أحسن سعر
pretend as you didn't hear anything,دير ليا ماسمعتي
that are bought for 3dh,لي كايشري ب 3 درهم
"Other than that, my day was actually pretty good",غير هادشي، نهار ديالي كان مزيان بزاف
police catched a crmminal,البوليس شفتو واحد القاتل
"However, I doubt that the hawks are interested in turtles","و لكن, كانشكّل واش لخراويّ كايهتمو بالسلاح"
where do i find it now,فين كانلقاها دابا
nothing is the same,ماكاين تا بحال
tell them you want money,ڭولهم بغيتي فلوس
I think we should split up,كانضنش خاصنا نبزقو
I dare you to work with good people,نتحداك ت خدّم مع ناس مزيان
he fell from second stage,راه من المرحلة تانية
husband,راجل
hey bro,سلام أخي
welcome,مرحبا بيك
do you want to go out with us today,واش بغيتي تخرج معانا اليوم
he was upset and his face is pale,راه مليا فجوهر و كان حيت
my daughter doesnt wanna look at me,بنتي مابغاتش تشوف فيني
did you go or not yet,مشيتي ولا مشيت
you are not a good citizen,ماشي مواطن مزيان
He went to the beach,مشا لبحر
i feel hungry,راه عندي الجوع
no one came,ماجيب تاحد
okey i'am going with you,واخا أنا غادي معاك
we stayed without diner,بقينا بلا العشا
where you went the morning,فين مشيتي صباح؟
Let me ask for a loanщ,خليني نطلب منك شي قرض
Where are you going?,فين غادي؟
you need to be diplomate,خاصك تكون دبلوماسي
where are my car keys,فيناهيا مفاتيح ديال طونوبيل
how much the onions are priced at,شحال كايكمل البصل
i thought that  he will see who is working,كان كيسحاب ليا غادي يرا من كايخدم
"Food can have a very important effect on how you feel, you know.","الماكلة ممكن تكون ليك تأثير مهم على كيفاش كاتحس, عارف."
Everyone should do what they think is beneficial to them. ,كلشي خاصو يديو لي كايبان ليه مفيد
forgive me I interrupted you,سمحلي قطعتك
they told her she is pregnant with boy,قالو ليها هي حامل و ولد
What are they?,شنو هادي؟
the park is the best place,الحديقة هي أحسن بلاصة
You don't want to descirminate,مابغيتيش تخلص من الحوايج
You think your dog will like chicken pie?,واش كايدين ليك كلبك غادي يعجبو فطيرة ديال الدجاج؟
the library was filled with the scent of books,المكتبة كانت ملية ب ريحة ديال الكتب
we gave you time,عطينا ليك والو
I dare you to to call him a bum,نتحداك ت درّاه بلي كايعطي ليه شي فخ
The wedding will be finished early in the morning.,العرس غادي يدير بكري فالصباح.
he gave me a syrops,عطاني شي شروب
are you good,واش نتا مزيان
they're organizing a charity event,كايديرو شي حفل الخير
Yes--by definition.,آه -- بالمعنى
good bless you,الله يباركك
well this is it's time what can we do,واخا هادي هي الوقت
take it slowly,شديها بسهولة
have you ever tried a food combination that turned out surprisingly awesome?,عمرك جربتي شي مزيج ديال الماكلة لي خرجت كايعجبك؟
i will not forgive you,ماغاديش نسمحك
i was expecting this day,كان كانتوقع هاد اليوم
my fiancee was nice,خليلتي كانت زوينة
go market,سير سوق
You've seen how you talk to me,شفتي كيفاش كتهدر معايا
what you cooked isnt sufficient,ماشي لي طيبتي كايكفي
this is the occasion,هادي هي المناسبة
what are you saying,أش كتهدري
this is human nature,راه هادشي طبيعة ديال البشر
Don't stop his pocket money,بلا ماتوقفو على فلوس ديال جيب
 you are too late to lock them,تعطلي بزّاف باش تقفلهم
go see the doc,سير شوف دكتور
did you hear what she told you,واش سمعتي أشنو قالتك
good help,مساعدة مزيانة
i couldn't left the bag,ماقدرتش نخلي هاد الباك
what i bought is gold,لي شري فيه الذهب
the keeper did his job,الحارس درا خدمتو
Not at the moment,لا ف داك لمرة
my hands are soft,يديا ريشفة
she want to play with your emotions,بغات تلعب مع العواطف ديالك
i cant stand it,ماكانقدرش نتحمل
time is hard,الوقت صعيب
Let me fight him,خليني نقاتل معاه
are you traveling tomorrow or not,واش غادي تسافر غدا ولا لا
please the rythme,عفاك ليا ريتم
It imagines things that might have happened to a real smuggling gang,كايخيال شي حاجة لي ممكن وقع ليه على شي عصابة ديال المهربين
bring us a littre,جيب لينا شوية
lets stay comfy here,يالاه نبقا مرتاحين هنا
she gave me abottle,عطاتيني القرعة
i thought that we will have a unified money in asiaщ,كان كيسحاب ليا غادي يكون واحد الفلوس فاسيا
will you study Saturday,واش غادي تقرا سبت؟
why do you cry,مالك كاتركي
they do publicity,كايديرو دعاية
i go each day to buy goods,كانمشي كل نهار نتقلب
where are you at,فين كاين
Have you met my brother?,واش تلاقيتي مع خويا؟
you are the best one I have in this life,نتا أحسن واحد عندي ف هاد الحياة
I might go call him now and start planting the seed of that idea,نقدر نمشي نعيط عليه دابا ونبدا نبدو نعطي ليك
"No, I would love to go to South America and particularly Brazil",لا، بغيت نمشي لأمريكا الجنوبية و خصوصا لبرازيل
the participation of the fans is low,مشاركة ديال الجمهور خايبة
help young boys,عاونو للي ولد صغير
lets go seet whats happening,يالاه نمشيو نشوفو شنو كايديرو
it is unusable,ماعنداش لخدمة
you are too late to confront him,تعطلي بزّاف باش تعرض عليه
I left the children alone,خليت لولادي بوحدي
I think you're very aggressive.,كانضن بلي نتا عدواني بزّاف.
I dare you to circle this place down,نتحداك ت دور هاد البلاصة
well arranged,مزيانة
you cant do it,ماكانهدرش
this is what he will do,هادشي لي غادي يديرو
what you said did hurt me,هادشي لي قلتو درتني
i ate oranges,كانكل ليمونات
stop whining,باراكا ماتبغيت
I'm waiting for you tackle me ,كانتسنّا فيك ت عجبني
you should never  flex on him,عمرك تفرج عليه
you should never exploid a ballon for fun,عمرك تفرق شي كورة باش تفرق
I don't drink alcohol,أنا ماكانشربش الكحول
no way,ماشي
last time you speal,آخر مرة كنتي كاتحضر
what do you think?,أش بان ليك؟
i did go to market,مشيت للسوق
He got out of prison and someone killed him,خرج من السجن و شي حد قتلوه
I want to discover Indian culture,بغيت نكتشف ليك ثقافة الهندية
there is no problem,ماكاينش مشكل
stop this,وقف هادشي
the education grow you up,تعليم كايكبرك
you upset her,نتا عجبتها
they make a plan together,كايديرو معا شي خطة
i dont think he will pretend something bad,مانضنش غادي يدرّف شي حاجة خايبة
you are too late to make up your mind,تعطلي بزّاف باش تقدر تقرّر
if only I could be fair to them,كون غير قدرت ندير معاهم
help yourself,خدي راسك
I would like to drink a cup of tea,بغيت نشرب كاس ديال الشاي
i told them the light were on,ڭلت ليهم ليا لور كايشعل
Does anyone here speak English?,واش كاين شي واحد هنا كايتكلم بالانجليزية؟
if only I could buy from you,كون غير قدرت ن تشري منّك
did you finish,واش كنتي قدمتي
mind your business,خلي فشي حاجة
Time for bed,وقت ديال النعاس
i will show you what i bought,أنا غادي نشوفك شنو شريت
everyone thinks differently,كولشي كايفكر مختلف
i think of supporting this initiative,تانفكّر واش ندعم هاد لمبادرة
I have some biscuits in my rucksack,عندي شي بسكويت ف ساك
Don't borrow from him,بلا ما تلبس منّه
he fell from a mountain,طيح من جبل
did you ever work in another place,واش عمرك خدمتي شي بلاصة أخرى
You are here to work,نتا هنا باش تخدم
Give me a call.,عيط ليا
I'm comming from work,أنا جاي من الخدمة
she's wearing a blue dress,لابسة كسوة زرقاء
I don't want to access that site,مابغيتش ندوز ل هاد لموقع
Although I do hear bread isn't very good for ducks,واخا سمعت الخبز ماشي مزيان بزاف ل البط
today i have a rdv,اليوم رادف
I have done it,أنا درتها
did you get paid,واش تلقيت ليكوم
dont shame him,ماتخايبش
weekend,سبت الويكاند
they're renovating their kitchen,كايجرويو ليكوزينا
i work in ecommerce,أنا خدام في التجارة
we won't be late,ماغاديش نتأخر
when you are ready call me,ملي تكوني واڭلي عليا
are you relieved now,واش راك خفّي دابا
I hope it helps!,نتمنى يعاونك!
i want to fix my shirt,بغيت ندير ليا شي قميص
Vegetable it is,الخضرا هي
if you want to loose your family,إيلا بغيتي تخلص من عائلتك
go give off your blood,سير عطيني دكشي لي خليك
i will talk to you about this,أنا غادي نتكلم معاك على هادشي
i miss the days when our biggest worry was finishing homework on time,كانحسّن الأيام ملي كان أكبر حاجة كانقلب عليها هو تخرج المراجع في الوقت لي كايبقا
you never told me,عمرك قلتي ليا
I'am a lawyer,أنا محامي
We need to work out what to do.,خاصنا نڭولو شنو غادي ندير.
At least somebody who can get us kitted out,على الأقل شي واحد لي يقدر يخرجنا
That chocolate is really nice,هاد الشوكلاط زوين بزاف
you did it,راك درتي
How much does he owe you?,شحال ديالو ديالك؟
the tire got broken,طيران مات
what do i studyщ,شنو كنقرا
Just talking to you could put me in danger,غير نتحاور معاك إمكن يخليني ف خطر
who buys fresh veggies,شكون كايشري خضرا
this was life changing experience,هاد تجربة غيرت حياتي
the cut my clothes,راه تلقات ليا حوايج
he wont accept you,ماغاديش يقبلك
When will you learn a useful phrase in this language?,إمتا غادي ت درّس شي جملة مفيدة فهاد اللغة؟
You are one With whom talk does not go through ,نتا واحد معاك ماكيدخلش
don't exagerate,ماتفرجش
I don't use facebook I only see stuff in whatsapp,أنا ماكانستعملش الفيسبوك كانشوف غير شي حاجة فواتسّا
I will take a shower,أنا غادي نتحمّس
i feel you,كانحس بيك
What is on the next order?,شنو غادي يجي في التلزمة التانية؟
he did go to study,مشا يقرأ
don't be upset for nothing,ماتقلبش على تا حاجة
But at night it will grow.,ولكن ف الليل غادي يكبر.
we done what you told,دارنا داكشي لي قلتي لينا
you will do bad with everytone,غادي تخرج من كلشي
lend your other house,كريدي دارك أخرى
one thing please,واحد حاجة عفاك
she were drinking a medicine,كانت كاتشرب دوا
they are yours,راه ليكوم
i heard my dad calling,سمعت بابا كايبغي
I forgot to pay the WI-FI monthly fees,نسيت نخلص لوي فاي كل شهر
tomorrow is holidays,غدا عطلة
cut the tomatoes,قطع ليه الطماطم
the whole ball of wax,الكورة كاملة ديال الشم
make people happy,راسي الناس
"Well.... Good morning, Doctor.",واخا... صباح الخير طبيب.
i found a dress for the event,لقيت سبا ديال الحدث
i thought that i calmed down ,كان كيسحاب ليا غادي نتعرض على هادشي
i left in in market,خليت ف سوق
i will take you to the parc,أنا غادي نديك لبارك
and rain falls ,و كانمطر
i'm fed up,أنا عفاك
without going to another country,بلا ما تمشي لبلاد أخرى
I forgot a good book.,نسيت كتاب زوين.
We're gonna walk for an hour and a half and then we won't even have time to get back by the pool.,غادي نمشيو ساعة ونصف و من بعد ماغاديش عندنا الوقت نرجع عند البيسين.
people isnt respectful,ناس ماكايحترمو
can i go to the toilet?,واش نقدر نمشي ل تويلوت؟
i'm confused,أنا خايبة
why don't you want to  block your friend,علاش مابغيتيش ت حادي صاحبتك
"morning, at a quarter to nine",صباح، من ربع ل تسعة
go finish your work,سير كمل خدمتك
So I'm the one giving the advice.,إذن أنا لي كايعطي المشورة.
"For a few months, sometimes I feel like I hear a voice talking in my head.",شحال ديال شهور، أحيانا كانحسّ بلي كانسمع شي صوت كايتكلم ف راسّي.
life is calme,الحياة هادية
i'm stuck this time,أنا سدقت هاد المرة
I shouldn't have given them money,ماكانش خاصني نعطيهوم الفلوس
explain to him,شرح ليه
are you asking about her,واش كتسال عليها
this skirt is short,هاد الستلة قصيرة
I want only to know what is there,بغيت غير نعرف شنو كاين
are you afraid to be in love,واش خايفك ت ماتحبّش
He is not going anywhere,ماغاديش يجي لأي بلاصة
it is on the ground floor,كاين ف طابق
"My birthday is today, but I thought there'd be more people on the weekends",عيد ميلادي اليوم، ولكن كان كيسحاب ليا غادي يكون زاف ديال ناس ف هاد ليكند
Maybe tomorrow I'll have a little more courage to go rock climbing with you,إمكن غدا يكون عندي شوية ديال الشجاعة باش نمشي تسلق معاك
i thought that he will have better butter,كان كيسحاب ليا غادي يكون عندو زبدة
I spent most of the day writing something that I wanted to work on,بقيت كتر من نهار كايكتب شي حاجة بغيت ندير عليها
well done,مزيان
Do you remember Jilali?,واش كتعرف شي حاجة؟
clap your hands,يديك كايصفف
are you in the mood now ?,واش عندك مزن دابا؟
she don't want to marry,ماغاتيش تزوج
they race with bikes,كايسابقو ب دوكيلات
What do you think you're afraid of?,شنو كايدين بلي خاف منّا؟
you have nothing to explain,ماعندك شي حاجة ت شرح ليا
why are you playing with your eyes,مالك كايتلعب مع عينيك
you will get free orange juice,غادي تلق ليمون ديال ليمونة
Have you tried develop a website,عمرك جربتي تطوّر شي موقع
You don't want to warm us,مابغيتيش تسخنا
he is a spy,هو جاس
I have a vacuum cleaner that uses that very technique to clean the flat!,عندي ماكينة ديال سيكور لي كايستعمل هاد التقنية باش تنظيف شقة!
I wear slippers at home,كانلبس الجرّافات فدار
I still have to brush my teeth and take a shower,مازال خاصني نفرشّ سنان و ندوش
He is sleeping,راه كايعسّ
whats this question,أش هاد السؤال
Then we can try to call for help by building a musical instrument.,ومن ثم نقدرو نحاولو نطلبو المساعدة بينا واحد الوسيلة ديال الموسيقى
they took m ydriving license,خليوني ليتار ليتيرانس
she couldnt wait,ماكانتشاش تسنّا
plus many things,و زيت بزاف ديال الحوايج
he is hit in his head,تلقاو ليه ف راس
"I suggest you listen more and talk less, I have to go now","كانقترح تسمع بزّاف و تقولو شوية, خاصني نمشي دابا"
Value yourself,تقديري راسك
he lock up in his room from the morning,راه مورا صباح سدّ ف بيتو
she is bringing her news,كايجيب ليا الخبر
i was coming to see what happening,كنت جاي باش نشوف أشنو كايحدو
ok I'll check and let you know,واخا أنا غادي نشوف ونعرفك
my boss is humble,راني راه متواضع
i will bring it to you,أنا غادي نجيبه ليك
january,شهر يناير
lets celebrate new year,يالله نحتافلو على العام الجديد
i want to fix your families,بغيت نسوي ليكم العائلات
all my phone,تليفون كامل
 you are too late to pour tea,تعطلي بزّاف باش تفرّح دكشي لي خاصك
Someone evil sent someone to kill her in prison.,شي واحد شرّي سفت شي حد يقتلها فالحبسّة
i thought that he will get the theory,كان كيسحاب ليا غادي يقدر يدرك ليه
I need to talk to you,خاصني نتناقش معاك
"I'll ask Marcel, Jeannine and Leon if they want to come",غادي نسول مارسل، جانين و ليون إيلا بغاو جايا
go to the pharmacy,سير ل دواية
congratulation on the new job,مبروك على الخدمة الجديدة
You don't want to like your boss,مابغيتيش تعجبك شي رئيس
stop the contract  with this man,وقف العقد مع هاد الرجل
Why don't you want to give me a good value,علاش مابغيتيش تعطيني قيمة زوينة
I don't eat rice,ماكاناكلش الأرز
you are too late to confirm,تعطلي بزّاف باش تيقّن
But I haven't prepared the presentation I'm meant to be doing whilst there,و لكن ماعقدتش العرض لي غادي ندير و أنا غادي ندير
"Then a dish with meat, and then dessert with red fruit.","من بعد طبق مع اللحم, ومن بعد الحلوى مع الفاكهة الحمراء."
he got paralyzed,شلّع
the samllest thing you will do for him,واحد واحدشي لي غادي دير ليه
"Calm down, please.",هدوء عفاك
can you repeat that please,تقدر تكرّر هادشي عفاك؟
I feel tired when I start reading,كانحس بالعيان فاش كانبدا نقرا
you did him good,درتي ليه مزيان
my gandma gave me money,راه راه عطاتني غاندما فلوس
Bring it!,جيبيه!
its normal you get sick in this weather,طبيعي نتا كاتحسّن ف هاد الجو
if only I could be independant,كون غير قدرت نستقل
it's hot and people are getting married,راه سخون و ناس كايتزوجو
i will not give you time,مابقيتش باغي نعطيكو ليك الوقت
that's a good advise,راه نصيحة زوينة
be a man,كون رجلا
why you crying,علاش كاتبكي
i don't know where to start,ماعرفتش منين نبدا
without giving a hand to others,بلا ما تدي ليا شي واحد ليك
your thongue will make you trouble,تڭوك غادي يخلّص ليك المشاكل
search well,شوفي مزيان
what do you feel ?,أش كايحسّك؟
he is still minor ,راه مازال صغير
who create this?,شكون لي خلق هادشي؟
would you like some?,بغيتي شي حاجة؟
he got the same habit as you,راه عادي كايبقى عادي
my hands are dried,يديا ديالي جفاو
You don't want me to fry the fish at home because it smells,مابغيتيش نطيب داك لحوت فدار حيت كايشم
talking much iss useless,الحضرة بزّاف ماعنديش
 you are too late to get a guide,تعطلي بزّاف باش توصل ل شي دليل
you need to be on time,خاصك تكون في الوقت
when she was in seventh month ,ملي كانت في شهر سبع
dont stay in cold,ماتبقاش ف البرد
really?!,بلي؟
you discover another universe,تكتشف شي عالم آخر
he's very annoying,راه مزعج بزّاف
Hello,سلام
you lame,نتا عفاك
i will not change my barber,مابقيتش باغي نبدّل لحلاقة ديالي
how much is that...?,شحال هادشي...
everyone says what he wants,كولشي كايڭول ليه لي بغاو
he only has bachelor degree,عندو غير دبلو
his name is saad,سمو سعد
you are true,نتا صح
I'am having lunch in home,أنا كانغدا فدار
this is the only thing I don't like,هادي هي ليك شي حاجة لي ماعجباتنيش
god save you,الله يديك
how are you with all the things happening right now,كيفاش نتا مع كلشي لي كايدير دابا
i will draw the deck,أنا غادي نستوجّب ليكسّر
pastery is a good project,راه مشروع مزيان
I think if i could get naked,تانفكّر واش نقدر نردّ عاري
 you are too late to join the gym,تعطلي بزّاف باش تدخل ل صالة
this clinic is my friend's go to it,هاد العيادة صاحبي يجي فيها
i will fix your sheep,أنا غادي ن دير ليك ديك شيوا
If this happened to you with both of them ,إيلا وقع ليك هادشي مع كولا واحد
go buy toilete paper,سير شري لوراق ديال الحمام
five to,خمسة من لخميس
a good deal,بزّاف ديال العرض
dont you know you sister,واش ماكانعرفش أختك
this is historical,هادشي تاريخي
Have you tried to mix recipes,عمرك جربتي تخلّط شي وصفات
i spent too much,خرجت بزاف
he is too nervous,راه متوتر بزّاف
"My heart is beneath the ground, not listening to my life.",قلبي تحت الأرض، ماكايسمعش لحياتي.
late at Sunday,معطلة نهار الأحد
where you want to get with this,فين بغيتي ت تلع هادشي
