Original English,Translated AR
"Besides, you were late yesterday, too.",بالأضافة، كنت متأخّر بزّاف، أيضا.
Have you tried to think of a big secret,عمرك جربت تفكّر سرّ كبير
you are following her liek a low life,واش تتبعها واش ديال ديال ديال ديال ديال ديال ديال الحياة
catch the thiefs,راه ديال ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i like calm music,أنا أحب الموسيقى الهادئة
i tried to convince them,وحاولنا أن نقنعهم
i made pancakes,كان ليا فطائر
do what you  like,واش مابغيتي عليه
why you dont wanna get hurry,علاش مابغيتيش تسافر
why don't you want to take a picture of this castle,علاش مابغيتيش تلتقطي صورة لهذه القلعة
The bride's mother was very happy.,والدة العروس كانت سعيدة جدا
Have you read it?,واش قرتيها؟
look its in the fridge,شوّفتها في البرادّة
If I start writing earlier I would have finished,لو بدات باش نكتب بزّاف كنت باش نكمل
It's very nice of you,راه بزّاف منك
she is angry,هي غاضبة
Uh huh... go on.,ها هاد هاد هادشي
you look tired today,تَنْظرُ مُتعّد اليوم.
they will make fruits,غادي يبنون فواكه
"My birthday is today, but I thought there'd be more people on the weekends",عيد ميلادي اليوم، لكنّي فكّرت كان ديال ديال ناس ديال العطلات
Do you want to go to the common room for a cup of tea?,مابغيتيش تذهبي للغرفة العامة لكوب من الشاي؟
and to more adventures that remind us of the wonders of the world,و للمغامرات التي تذكرنا بعجائب العالم
just calm down now,هدّد من روعك الآن
eveytone make money,غادي نجمع المال
Let me ask him for help,خليني نطلب منه المساعدة
I need a good seamstress,أنا بحاجتي بزّاف بزّاف بزّاف
if only I could steal,كون غير قدرت ندير
we live on bread and tea,نعيش على خبز و شاي
beside them,بزّافهم
give me bread,علّميني خبزا
the shopper compared different brands before deciding,واش باش قارن باش باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
give him 700dh,عطيه 700 دره
if someone from family,واش واحد من العائلة
you cant meet someone you just knew,ما قدرت تلاقي شخص ما عرفته
Without announcing your project now.,بلا إعلان مشروعك الآن
I'm waiting for you to build a swimming pool in the house,كانتسنّا فيك باش تبنّي بركة سباحة في البيت
you get on my nerves and I realize I'll be way better away from you,غادي توتّر وادرك بزّاف بزّاف بزّاف بزّافّ منك
one place at your house,راه واحد في دارك
you prepared everything,واش تهدا كل شي
god helps you,راه الله تا غاديك
Pass the exam. Are sign-ups still open.,إجاز الإمتحان
i went to the living room,فذهبت لغرف المعيشة
who with me,واش ليا ليا
my wife tried living there,كانت زوجتي تحاول العيش هنا
your life got messed up,حياتك تعطلت
When will you invite me?,متى ستدعوني؟
why is this weird,علاش هادشي غريب
this is not enough,هادشي غير كافي
It'll be fun!,غادي تكون مرحة!
this is not a game,هادشي ليست لعبة
I am shaking,أنا راهية
dont be full,ماشي غادي غادي ناش غادي
The girls wore traditional berber dresses.,البنات ارتدوا فساتين البربر التقليدية
I missed a lot of your classes cause it was nap time,فاتني الكثير من دروسك لأنه كان وقت القيلولة
But I quite like being here thanks.,ولكن أنا أحب أن نكون هنا شكرا.
the old lady needed help crossing the street,السيدة الكبيرة كانت في حاجة مساعدة على عبور الشارع
May Allah Take justice from you and her,راه ليا الله يحوّل بينك وبينها
Cats love to play,القطط تحب اللعب
why you dont wanna retire from your job,علاش مابغيتيش تتخلّص من شغلك
i have small bottles,كان عندي قنينة صغيرة
i need a clear futur,أنا بزّاف بزّاف بزّاف بزّاف
god help them,ليا الله علاهم
Let me join this contest,خليني نشترك في هاد المسابقة
biggest thief,كبير سارق
i ate peaches,غادي غادي ديال ديال ديال ديال
i will lend you,أنا غادي نديرك
birds drink from glass,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
He has a nice car,عنده سيارة راقيّة
i wasn't going to trust this if i didn't see with my own eyes,ماكانش ناش نأتّمن هاد مالو ماكانش ماشوفت بعيناي
true love doesn't exist anymore,الحب الحقيقي غير موجود بعد الآن
he has charged the goods,راه ليا هادشي بزّاف بزّاف
she yells a lot,تهتّم بزّاف بزّاف
we stayed till morning,بقينا حتى الصباح
i achieved all the awards possible,واش قدرت كتيّر كلّ هاد ممكن
give her tv,هاديها تليفزيون
i foudn the pen,غادي غادي غادي القلم
"can i have a knife, please?",مانقدر نبقّي سكين، من فضلك؟
i reached what imy parents want,أنا غاديش مايريده آباء ديالهم
It makes me happy to know your health is good.,غادي يفرحني بعرفي صحتك جيّدة
the referee's decisions were closely scrutinized by both sides,ديال الحكم تم فحصها بزاف من كلا الجانبين
go wash to pray,واش غادي ندّعي
What do you think you know exactly?,واش تخالك تعرفها؟
you spoke to your uncle,تخاطبتي مع عمك
what he did told you,ماقاله ليك
gimme a blue pen,راه بزّاف بزّاف بزّاف
i will bring it with me,أنا غادي نجلبها معي
dont leave your mistakes,واش ماتركو ليك ديالك
i need to sew a takchita,أنا بحاجت لخياط تاكشيتا
Let me walk by myself,خليني نمشي وحدنا
answer or turn off,جاوب وارجع
wednesday,ديا ديا دايس
Come and change places with me,عد وغيّر ليا بزّاف
regarding living cost,هادشي بزّاف بزّاف
I'm sleeping,أنا غادي نمشي
he doesnt deserve it,واش مايقدرها
"We could try to find a pond, but I bet we'd get eaten alive by mosquitos.",كان بإمكاننا أن نحاول أن نجد بركة، لكنّي راهنت بأنّنا كنّا نتاكل حيّا بالبعوض.
can i subscribe here,مانقدرش نقيم هنا
if someone wants it,إن كان هناك من يريدها
I will go sign him up in the fitness room,غادي نمشي نسجله في غرفة اللياقة
do you remember first time i saw you,تتذكّرين أول مرّة راتّك فيها
And how long have you been in charge?,و منذ متى و أنت في القيادة؟
are you fine,هادشي ليك بزّاف
Ask my mother to get something for her too!,اطلبي من أمّي أن تحضر لي شي حاجة لها أيضا!
"If you get me a sandwich, I'll play a game after",واش تعطني ساندويتش، غادي نلعب باش باش بزّاف
did you see people how they speak to me,راه ناس كيفو يكلمونني
when are you planning to have the wedding?,متى تخططين لزفاف؟
my school call my parents ,مدرستي نادو ديال ديال ديالي
Let me sell my gold,خليني نبيع ذهبي
do you wanna go with me,مابغيتيش تمشي معي
I dare you to explain this aya,تحداك توضّح هادا آيا
i thought that the king will invite him,خيّنت أن الملك سيدعوه
i bought a jelaba,واشيت خلابا
she wasn't afraid alone,ماكانت خايفة بزّاف
don't trust people,ماتش تاكل ناس
what this mean ?,هادشي هادشي؟
I have bad news for you,عندي أخبار سيئة لك
this point is marginal,هاد نقطة هادشي
he puts too cold water in his stomach,راه ماء بزّاف في معدته
to work and hurry,غادي نخدم و ندير
I've had a terrible day,عانيت يوما عصيبا
forget about it,هادشي هادشي
You could be right,كان يمكنك أن تكون على حق
the laptop became warm,واش ليا ديال ديال ديال ديال ديال ديال ديال ديال ليا ديال ديال ديال ديال ديال
thanks i dont know,شكرا أنا ماعرف
i will give you to drive,أنا غادي نديرك
I want to sell the shop,واش نبيع المحل
i don't want to see you here,مابغيتيش نشوفك هنا
get out,نخرج من هنا
i live in another country,أنا أعيش في بلد آخر
i had the highest grade,كان عندي أعلى درجة
I'm waiting for you to do what i suggested,كانتسنّا بزّاف باش تفعّل ليا ماقترحت
im not doing well,أنا ماشيش بزّاف
how much you pay,راه بزّاف تدّفع
"Well, it doesn't have to be too bad.",حسن، مابغيتيش يكون سيئ جدا.
angry,هادشي
we called her,راهنا نكلّمناها
"The car ran over his leg, he bled a lot",درت السيّارة على ساقه ونزّف بزّاف بزّاف
call the police,استدعي الشرطة
told me she brought nothing,قال لي ليا جلب ليا ماشي
you have too many acne,كان عندك بزّاف بزّاف بزاف بزّاف
I'm waiting for you to find a house for rent,كانتسنّا فيك باش تجدو بيتا للإيجار
we will continue it together,واش نكمل معا
just alittle bit,فقط قليلا قليلا
they got busted,واش باش باش باش
I think of not getting tire,أنا مانفكّر ديال ديال ديال
did something happen to you,واش خسّر ليك
Let me face him,خليني نواجهه
he laugh with his friends,راه يضحك مع اصدقائه
order what you want,راه مابغيتي
Do you have a pencil?,ماعندك قلم؟
we're going to travel,غادي نسافر
But you cut your finger!,لكنّك جرحت اصبعك!
 I'm irakian,أنا آيراكيان
take a hot shower,غادي غادي ديال بزّاف
it been a long time since we danced,مر وقت طويل منذ كنا نرقص
Don't be so impatient,ماتكوني غير صامدة
me also I will go to sleep,أنا غادي نمشي ننام
I'm waiting for you aim at the bird,كانتسنّا بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
Have you tried to drive near someone,عمرك جربتي أن تقودي بزاف شخص ما
i need a bit of fruits,نا بزّاف بزّاف فواكه
what are you waiting now,ما الذي تنتظره الآن؟
it's a big door,هاد باب كبير
"Okay, whatever you want, sister ",حسنًا، مابغيتيه، أخت
i met him in tangier,أنا قابلته في تانجيير
you are too late to join a club,تاخرت بزّاف باش تلتحق بنادي
take grab this,هاد هادشي هادشي
Not at the moment,ماشي بزّاف بزّاف
You would not believe the day I've had,ماكانغيش تاصدقين اليوم الذي كان عندي
I want only to know what did you do to him,مابغيت إلاّ أن أعرف ما الذي فعلته به؟
We can just invite people on the Sunday,يمكننّا فقط ندعو الناس في يوم الأحد
I'm not sure,أنا ماتش غير متأكد
You don't want to share your food,مابغيتيش تتشاركي غذائك
Have you tried to have a party,عمرك جربتي بزّاف
Last time I felt like I had a panic attack,آخر مرة شعرت كاني كان عندي نوبة ذعر
i'm getting promoted in the team,أنا غادي نترقّي في الفريق
he went to school,ذهب لمدرسة
I think I may sneeze,واش غادي نعسّي
 i told him to bring him food,قالو ليه ليهدي ليه شي شي
are you afraid i will embarrass you ?,واش تخشي نحرجك؟
take omar,راه راه
They always give me extra cakes,دائما ماعطوني بزّاف بزّاف
i dont think  wear respectful dress,مانفكّر باش نلبس لباس راهبان
do you have a ticket?,واش عندك بزّاف بزّاف؟
she came,هادشي
i always forget your name,دائما مانسيت اسمك
They do years and years of studying!,ديال سنوات و سنوات من الدراسة!
you are not  a man,ماشيش راه
why you dont wanna explore new places,علاش مابغيتيش تستكشف ديال جديدة
Stand up!,قفو!
you should never touch whats mine,مابغيتيش تاخدشي ليا ديال ديال ديال ديال
i hope you succeed,أملي أن تنجحي
Have you tried to turn off your phone in eid,واش جربتي تا غادي تليفونك في حيد
"After all, ducks eat every day!",في نهاية المطاف، البط يأكل كل يوم!
I dare you to leave them be,أنا تحداك باش تتركو ليا
i think if i could discuss problem,مانفكّر واش نتفكّر في المشكلة
Have you tried to split the heritage,عمرك جربتي تجزئة التراث
it became a global problem,واصبحت مشكلة عالمية
i will buy groceries for guests,غادي نشتري بزّاف للضياف
he took my money,واغد ليا ليا ديال ديال ديال ليا
you are too late to brush your hair,تتأخري بزّاف بزّاف شعرك
thats why we came,هادشي هادشي هادشي
i will find a solutiojn,أنا غادي ناجد بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
if you wanna money work hard,إن كنت تبغي المال فعمل بزّاف
hey you are you traveling,هادشي تسافر
give me bread,عطيني خبزا
i thought that i will continue my job,كان كي نكمل شغلي
Have you tried to cheat on the exam,عمرك جربتي خاينة في الإمتحان
is this hard for you to do,هاد هادشي صامد عليك تاخدها
you told me you will bring her,قلت ليا غادي تحضرها ليا
this day is a long one,هاد اليوم طويل
go clean in the bath,غادي ننظف في الحمام
you should never excute innocent people,مابغيتيش تسخري ناس بريئين
this is delicious,هاد هادي شهية
no French music,بلا موسيقى فرنسية
this how it is life,هادشي هي الحياة
good for you,جيّد لَك
he left him wih nothing,ترك ليا هادشي ماشي
i will insult this singer,أنا غادي نهاد هاد المغني
go to the strore you might find it,واش نمشي مع السوبرو قد تجده
Have you tried to stay religious even abroad,عمرك جربتي بزّاف ديال بزّاف بزّاف بزّاف بزّاف
It's just like in Charlotte's web,هادشي كاش في ديال تشارلت
i will no cooperate with them,مابغيتيش نتعاون معاهم
Have you tried charge your phonz,واش جربتي باش تهتّم بزّافك
he doesnt listen,هو غادي يصغّي
good for you man,جيّد لك يا رجل
i feel lazy,أنا كسولة
you need to do a diet,حاجة تَحتاجُك تَعمَلُ غذائي.
i dont think he will shpw him how to solve the problem,مانضنشش غادي غادي يغيّروه كيف يحلّل المشكلة
I will make you regret what you have done,أنا غادي ندمك على ماعملتيه
the phone turns off,راه تليفزيون
let's go,هيّا بنا
what was your report about?,علاما كان تقريرك؟
you will live pride,غادي نحيا نعيشي
can I stand up?,علاش نقف؟
defend yourself,راه ليا تا غادي تا غادي تا غادي
i do what i want,أنا غادي ندير ليا
i will exploit my employee by giving him small paycheck,أنا غادي نستغل عاملي باش تعطيه راتب صغير
you went abroad,كنت تسافرين في الخارج
Why don't you want to act this role ,علاش مابغيتيش مابغيتيش دور هاد الدور
I dont think he will lend you the car,مانضنش غادي يعير ليك السيّارة
we had guest noww,كنّا نعيّنّا بزّاف
best this is to be compassionate,خيرا هادشي هاد هادشي شفقة
if only i bought new clothes,كون غير قدرت باش بزّاف بزّاف جديد
They cared for her as if they were family.,كانو يعتنون بها كما لو كانو عائلة
Might see you tomorrow,غادي نراك غادي
i miss the days when summer break felt infinite,تفوت ليا ديال ديال ديال ديال ديال ديال ديالي ليا ديال ديال ديالي
I made a cup of verbena for you,أنا صنعت كوب من الـ(كوستينا) من أجلك
he has  problem in alst name,ديه مشكلة في سمّي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
i drink tee,غادي نشرب ليا
good eid,ديال جيّدة
He played like a demon,راه كانشي كالشياطين
once we are all there in forest,واش نا غادي غادي غادي نا غادي غادي
i will make chains and sell them,أنا غادي ندير و نبيعهم
this is the last match you gonna play with us,هادا آخر مباراة ستلعب بها معنا
don't play us,مابغيش نا غاديش
they signed contract,لقد وقعو على العقد
I think of staying up,كانفكّر باش نبقّي بزّاف
my mom always yell at me,أمّي تصيح ليا
this cat is small,هاد القطة صغيرة
just forget it,فقط ننسيها
the day after tomorrow,اليوم بعد غد
my head hurts,راسي تؤلمني
He is going to the beach,راهي يذهب إلى الشاطئ
I think you are wrong,كانخالك غلط
how much you have here,واش بزّاف بزّاف هنا
i have ill intent,كان عندي نيّة خائبة
you upset her,تضايقتيها
I'll be special,أنا سَأكُونُ خاصّ
I don't think a mirror will help,مانفكّر مراة تساعّد
This house is Malika's,هاد البيت ملك مالكا
he got a new haircut,راه شعر جديد
"Yes, I was in Sri Lanka recently and saw some wonderful birds and animals",نعم، أنا كنت في سري لانكا مؤخرا وشاهدت بعض الطيور والحيوانات الرائعة
god is the giver,الرب هو المعطي
the sky is ful of starss,سحابة فلية من كبّار بزّاف
its tight for me,راه بزّاف ليا
There is a mound of papers on my desk,هادشي بزّاف على طاولتي
you the one who killed him,أنت من قتله
this man is dirty,هاد الرّجل بزّاف
i think i'm just wasting my time,كانظننّا نهدر وقتي
only,باش غير
Often students fall asleep so something to grab their attention might be just the thing,علاش غادي غادي غادي غادي غادي غادي يجذب انتباههم شي شي شي يكون شي شي شي شي شي شي
he got some work that he didn't expect,كان لديه بعض العمل ماكان يتوقعه
pinguins wil lgo extinct,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
Oh and are you paying for everything?,واشاش تدفّع لكلّ شيء؟
i keep you company,أنا مابقيتيك بزاف
did try the clothes,واش جرّبت ديال الثياب
we want the flower to be normal,كنّا نبغي الزهرة تكون طبيعية
we used to play with food,كنّا نلعب بزّاف
i invited work collegues,أنا غادي ندير ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
He was talking to a friend while walking his dog,كان يتحدث مع صديق بينما كان يمشي كلبه
there's light,هادشي نور
she looks in shock,كانت تنظر في صعقة
i think if i need to make changes,غادي نفكّر واش نغيّر
Including false teeth,واش خاطا
he know what to do,عرف مايفعله
the thing is super hard,هادشي شي هادشي بزّاف
i thought that he will not spread the issue,كانضن غادي ماكانش ينشر ليا شي
do you want me to come and pick you up?,واش تبغيني ناتي و نوصلك؟
she wil ltry to run,راه واش غادي تركض
put yourself in my plce,واضعي نفسك في ديالي
you need some coffee,تَحتاجُ بَعْض القهوةِ.
i will poison rat,أنا غادي نسمّي واش
these untensils need to be cleaned,هاد هاد هادشي هاد هاد هادشي غادي ننظفو
listen to your heart,استمعي لقلبك
just let me stay at home. ,خليني نبقّي في البيت
I specialize in artificial intelligence.,أنا متخصص في الذكاء الاصطناعي
what's your favorite holiday tradition?,ما هو تاريخ عيدك المفضل؟
go heal you sick,در ليك مرضت
He went to a spa,راه ليا بزّاف
or before shower,أو قبل الاستحمام
just an advice,مجرّد نصيحة
if only I could call for pray,كون غير قدرت ننادي ليا
it's my honor,هاد شرفي
don't confuse me,ماش تخلط ليا
I don't have a driving licence,ماعندي شارة قيادة
congratulations,تهانئي
I was afraid for you,كنت خايف عليك
with health and comfort,مع الصحة و الراحة
you should never tell me a good story,مابغيتيش تقصّي لي قصّة جيّدة
i want to start a new life,مابغيتيش نبدا حياة جديدة
sorry,راه
you need to negotiatie,عليكي تا غادي ديال ديال ديال ديال ديال ديال ديال
why don't you want to color this picture,علاش مابغيتيش تلوين هاد الصورة
he study in the high school for 3 years,كان يدرس في المدرسة الثانوية ل 3 سنوات
about ears,راه بزاف
I have a cat,عندي قطة
What do you mean by the Thai?,ماذا تقصد ب التايلاندية؟
is it hard ?,هادشي صامد؟
they are good,هادشي بزّاف
i have no money,ماعندي مال
"I think if you fillet it, then fry it lightly and serve with a lemon and olive oil",واش غادي تا غادي تا غادي تا غادي تا غادي بزّاف و خادر بزيت الليمونة و زيتونة
i want to live,مابغيتيش نحيا
have fun traveling,تجوّل بزّاف
we be there in half hour,كنّا هناك في نصف ساعة
You don't want to predict ,مابغيتيش تتنبأ
he is going and coming,غادي نمشي و نمشي
the best thing that happen in my life,أفضل شي حدث في حياتي
He is drinking coffe in the balcony,راه يسكر بزّاف بزّاف بزّاف بزّاف بزّاف
the wedding is in two weeks,العرس في أسبوعين
"Well, you do work us hard and everything",حسنا، كنت تعمل معانا بزّاف و كل شيء
i do everything,أنا ندير كل شي
thank you and good bye for now fans,شكّر و مع السلامة ليا المعجبين
I laughed so hard,ضحكت بزّاف
he has bachelor,راه عازب
we found road closed,واجدنا طريقا مغلقا
you could be useful to me,يمكن أن تكون نافعة ليا
i forgot the helmet,نسيتي خوذة
i feel i'am not prepared,أشعر أنّي مانضنّي غير مهيّأة
hard word with me,ليا باش ليا باش ليا
i dont want nothing,مابغيتيش ماشي حاجة
i know you ,أنا أعلمك
That's very interesting,هادشي هادشي جدا
you are too late to handle your clothes,تاخرت بزّاف بزّاف بزّاف لباسك
I ll get the cards now,أنا سَأَحْصلُ على البطاقاتِ الآن
they needed to die,كانو بزّاف ليموتو
Are they still raw?,واش بزّاف؟
are you a fan of nature walks?,واش عارف لطبيعتي مشي؟
the sky is so clear,هادشي هادشي
this parking is full,هاد الموقف كامل
she isnt there,هادا ماشي بزّاف
saha ftourk,راه فستورك
i have many conditions,كان عنديّ العديد من الاحوال
I promise you I won't be late,عاهدك مابغيش تأخّر.
listen to this song,الاستماع إلى هاد الأغنية
do you want me to stay at home ?,واش تبغيني نبقّي في البيت؟
why you dont wanna give me details,علاش مابغيتيش تعطني التفاصيل
excuse me i'm wrong,عذريني أنا مخطيء
you may have lost it in the street,عمرك ضيعتيها في الشارع
he scammed me,راه خانق ليا
thank you so much,شكرا جزيلا
Let me get goods from abroad,خليني نجلب بزّاف من الخارج
we will die eventually,غادي نموت
"I was talking about dessert, but I think I'm gonna make it easier for you",كنت أتحدث عن حلوة، لكنّي كنتفكّر أنا غادي أسهّل ليك
the,هادشي
underground,واش
"I'm allowed to dream, don't I?",أنا مسموح لي بالحليب، أليس كذلك؟
Have you tried to exportate this kind of fruit,عمرك جربتي تخدير هاد النوع من فاكهة
I'm waiting for you to go abroad,ماننتظرك تسافر بزّاف
I dare you to vote for this elderly,تحداهنّاك تصوت على هادشي الكبيّر
thank you dear man,شكّر ليك ديال الواليد
he talked about me before,كان يتحدث عني من قبل
if only I could find a default,كون غير قدرت نوجد ديال ديال
You don't want to pay your condeliences,مابغيتيش تدفعي ليك
She was happy because people praised her.,كانت سعيدة لأن الناس أثنوها
i have two sis,عِنْدي إثنان سمس.
Now for music?,ديال الموسيقى؟
cultivating is beneficial this year,الزراعة نافعة هاد السنه
take study this,غادي ندير هاد هادشي
would you prefer two single beds?,واش تفضلين سريرين واحدين؟
i will not end it,غادي نا غادي نهيه
why did you listen ,علاش كنت تسمع
to become familiar,واش تصبح بزّاف
before he leaves,قبل أن يخرج
why Saturday,علاش ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
come to the festival,جاومو على المهرحة
you should never laugh at me,مابغيتيش تسخري مني
i saluted him,شوّيت عليه
Your salary depends on it.,راتبك يعتمد عليه
they are known for this,هم معروفون هادشي
can we talk about how different our parents' lives were at our age?,علاش نتكلّم كيف غادي ديال ديال ديال ديال ديالنا في عمرنا؟
dont close to her she is sick,مانضب عليها هي مريضة
when i need you i didnt find you,غادي تا غادي ماجدتك
are you a fan of dance?,هاداك مروحة رقصة؟
i was fasting and drank water accidently,كنت صيما وشربت الماء بزّاف
close the windows,غادي تا غادي تا غادي
whatever we found we ate it,راه ماوجدناه غاديه
I'll ask him.,أنا غادي نسأله
I think if this opportunity deserves it,مانفكّر واش هاد هاد الفرصة نستحقّاها
you may reach it you may not,علاش تاخدشيها و ماشيش
he is a womanzier by night,راه راه بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
i have too many errand,عندي الكثير من المهمات
you are too late to change the place,عمرك بزّاف تغيّر المكان
is there a hotel nearby,كان بزّاف بزّاف
you need to run well,حاجة تَحتاجُ تَرْكش جيّد
turn off phone ,واش باش تليفون
it is better,راه أفضل
my grandma fell in the stairs,جدتي سقطت على السلالم
you who report everything,واش تدوّن كلّ شيء
that good,هادشي جيّد
i will try,أنا غادي نجرب
she learned to talk,درّبت على الكلام
they will have lunch with us today,غادي غادي معانا اليوم
without stopping the work,بلا توقّف العمل
they went,راهو
We're just going to get the scallops.,مانغيّا نا نا نا نا نا نا نا نا نا نا نا نا نا نا نا نا نا نا نا.
you should never race him,واش تسابقيه
what's the most romantic song you've ever heard?,ما هي أكثر أغنية رومانسية سمعتها من أي وقت مضى؟
I am quite happy here and the staff are friendly but sometimes I don't like the food,أنا سعيدة جدا هنا والطاقم ودية ولكن في بعض الأحيان أنا لا أحب الطعام
you are too late to get along with this weather,واش تتأخر بزّاف باش تصاحب مع هاد الطقس
wait here,كونوا هنا
 you are too late to bring clothes,تاخرت بزّاف باش تاتي بزّاف
I'm thinking who saw me dancing.,كانفكّر من راه راه ليا نرقص
jelaba is wide,جلابا شاهية
you are too late to close window,تاخرت بزّاف لإغلاق النافذة
he want to send them,مابغيه هو أن يرسلهم
there is an event,كان هناك حدث
are you feeling something ?,واش تتحسس شي شي شي؟
believe in us,واشنا بنا
excellent,بزّاف بزّاف
that outfit is dear to me,راه راه راه راه ليا
you come late,غادي تتأخر
you should start the initiative,عليك أن تبدئي المبادرة
he keeps calling you a lot,غادي يكلّمك بزّاف
will you be free tomorrow evening?,غادي تا غادي غادي بزّاف؟
My son studies computer science,ابني يدرس علم الكمبيوتر
if you arent comfy go away,لو مابقيتي غير مريحة غادي نمشي
i didnt forget your goods,مانسيت بزّاف بزّاف
I dont think he wil lresign,مانضنش غادي يغيّر
he is not her son,راه ماشي ولدها
i cant eat icecreams,أنا ما قدرت أاكل آيس كريم
here is my number,هادي هو رقمي
"yes, sure!",نعم، بالتأكيد!
happy eid,عيد ميلاد سعيد
go tell her,غادي نطلق عليها
if only I could invest in this,كون غير قدرت نستثمر في هاد
let's go stop talking,خلينا نتوقّف عن الكلام
i can escalate this mountain,أنا يُمْكِنُ أَنْ أُصعّدَ هذا الجبلِ
july,شوية
I am traveling tomorrow.,غادي نسافر غدا
japanese food is cheap,راه پابانّا غادي رخيصة
if only I could shake from swimming,كون غير قدرت نمشي من سباحة
The past is dead,ماضي ميت
wide selections,بزّاف اختيارات
is the wifi not paid,السوفيتية غير مأجورة
i'm planning a picnic this weekend,أنا أخطط لنزهة بزّاف بزّاف بزّاف
i will host a minister,غادي ندير وزير
i don't want to go out tonight,مابغيتيش يخرجو الليلة
you are late,واش تتأخرين
I dare you to finish this exam,تحداك تاكمل هاد الإمتحان
 he is not knowledgeable enough,راه غير معروف بما فيه الكفاية
how does the climate affect the lifestyle here?,كيف يمكن للمناخ أن يؤثر على نمط الحياة هنا؟
i will do surfing classes,أنا غادي ندير دروسا
I'll give you a call.,غادي نتصّب عليك.
he couldn't tell the future,راه مايعرف المستقبل
we go to aunt,هادشي لعمتي
I'm going,أنا غادي
do you need help,واش مابغيتيش مساعدة
who are yo uto me,راه ليا ليا ديال ليا
Why don't you want to reconciliate between your brother and friend,علاش مابغيتيش مابغيتيش تصالح بين اخيك وصديقك
do you have anything cheaper,واش عندك أي شي بزّاف
To live in a land other than your homeland,ليعيشوا في أرض غير وطنك
be careful to break,كونوا حذرين لكسر
i bought it with him,واش باش معاه
what did you do sis,واش ماعملتي ليه
there are people working,هادشي ناس عاومون
He likes juice but he doesn't like milk,هو يحب العصير لكنّه لا يحبّ الحليب
After he'd finished flapping his arms around,بعد أن كان قد أنهى تاكل ذراعه
he loves to go out in nature,كانه يحب الخروج في الطبيعة
this what you want to hear,هادشي مابغيتيش تسمعيه
"Hello Sami, how are you today?",هالو سامي، كيف حالك اليوم؟
it is cold today,هاد اليوم بارد
i fixed my teeth,غادي تاينشي ديال ديالي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
this food won't cook itself,هادشي غادي غادي لا يطبخو
eat well,كلي بزّاف
We're losing all its landmarks,خسّرنا كُلّ معالمها
you know the liver,كنت تعرف كبدا
we stayed up night,بقينا بزّاف بالليل
Let me taste,خليني نتذوق
i thought that he will pretend badly,كانضنت ليا غادي يتظاهر بزّاف
one of them,واحد منهم
find a girl for marriage,جد بنت لزواج
no one answered,غادي غادي غادي نجيب
this river is ferious,هاد النهر شريعة
well you better hurry then because we have prep to do,واش تافضلي تاسرّع باش عندنا نا نا نادير
i will try to solve it,غادي نجرب نحلها
you are too late to call me,بزّاف بزّاف تاتّصل بيا
she wants to kill ,كانت تبغي أن تقتل
I'm not gambling anymore,أنا ماكنت نقامر بعد الآن
talking with her step sister,تتكلّم مع أختها
come back again,عد مرة أخرى مرة أخرى
Let me get the chair,خليني نوصل كرسي
i wil ltell you,أنا غادي غادي تا غاديك
remember when we would team up to create chaos and blame it on the dog?,تتذكّر متى نتّاوّف نخلق الفوضى ونلومها على الكلب؟
like  summer like winter,راه فصحا و شتا
The heat turned the milk sour,السخّاء حوّل الحليب حامض
"What do you think, sir?",ما رأيك، يا سيدي؟
We absolutely need to go shopping!,مانحتاجه نمشي تسوّق!
you should never take too much meds,مابغيتيش تاخد ديال ديال بزّاف
I don't know it,أنا ماكنتاعرفها
make a cold juice,كونا بزّاف بزّاف
what's new?,ما الجديد؟
go on the right way,سير على الطريق الصحيح
