Original Eng,tgt,src
let's meet in the mosque,يالاه نتلاقاو فالمسجد,We will meet in the mosque
i will not hang my clothes on the window,مابقيتش باغي نعلّق حوايجي على نوافذة,I'm going to have to keep my hair on the window.
i'm coming now,أنا جاي دابا,I'm here now
I'm not cooking pasta I thought it was the rice dish!,ماكانساهلش ليكسّا كان كيسحاب ليا هادي دك طابلة ديال الأرز!,I could not have done this dish of rice!
he doesn't believe in himself,ماكايصدقش راسو,My name is Makaydhash Raso
this is the last episode,هادي آخر حلقة,This is the last episode
Let me wipe your face,خليني نفرح ليك وجهك,Let me see your face
it is enough for you,هادشي كافيك,That's enough for you
I dare you to not go outside your home,نتحداك ماتخرجيش من دارك,You're not going out of your house
there are too many guests,راه بزّاف ديال الضياف,The way of the al-Za'af
what will you add,اشنو غادي زيد,Ashono will be increased
I won't promise you something,ماغاديش نوعدك بشي حاجة,I never told you anything
yes it's a little bit further away,آه، راه بعيد شوية,"Ah, a long way"
my back is itchy,شحال من لحم,I'm not a soul
look right and left,شوف على ليمن و على لسر,Look at the left and the left
you are welcome,مرحبا بيك,Hello and welcome
i just finished,أنا غير سدقت,I am not a sinner
what the matter,أش هادشي,Ash hadshi
you are not my friend,نتا ماشي صاحبي,Don't worry my friend
This is exactly the vacation I wanted.,هادي بالضبط عطلة لي كنت باغي.,This is exactly the holiday I was a begi.
hey dad ,أجي بابا,My father
i'am putting a lot of efforts,أنا كايحاول بزاف,I'm trying to find you.
do you want them for this madam,واش بغيتيهم ليك هاد الستيدة,Do you want them for this lady?
black,سد,Sad
you found the solution,لقيتي الحل,I found the solution
if only i choosed what i want,كون غير قدرت نختار داكشي لي بغيت,I'm not able to choose you.
Why dont you want to reserve a hotel,علاش مابغيتيش تحجز فوتيل,Allah has not left you a dead
I dare you to invent something new,نتحداك تخلّد شي حاجة جديدة,Don't you just keep doing something new?
you are too late to make clothes,تعطلي بزّاف باش تبرّز حوايج,Give me the key to the business
i prayed,أنا صليت,I prayed
you should never tie between them,عمرك ت ربط بينهم,Your age is tied to them
take me with you,خديوني معاك,I am with you
What do you think?,أش بان ليك؟,I'm not here?
i'm not sure if i wanna go or not,ماعارف واش بغيت نمشي ولا لا,I know you want to be a star or not
he don't need money,ماخايبغي فلوس,I have to borrow some money
the wall is durty,الحيط قاسح,The al-Taabi is hard
they called an ambulance,عيطو على لفرقة ديال المبولانس,Get me on the ambulance team
he has chosen god path,راه راه راه راه راه الله,The way the way of Allah
you will not add a minute,ماغاديش تزيد على دكشي,I'm not going to tell you anything.
turn left,دور على يسار,Turn left
and happy,و فرحان,And farhan
Let's race,أجي نسابقو,I'm not sure
what songs do you like to listen to on rainy days?,أشمن أغنية كيعجبك تسمع ليها فيام ديال المطر؟,I like this song so much that you have to hear it in the weather?
he want my clothes,بغا حوايج ديالي,Big deal with the dialy
the sea is full,البحر مليء,The sea is full
I take care of the restaurant and you invite the friends,أنا كاندير المطعم و نتا كاتعرض على الأصدقاء,I can't eat and don't show up on my friends
Don't be confident,بلا ماتبقى متيقين,No more than you know
Is there a mosque close?,واش كاينا شي مسجد قريب؟,Is there any mosque nearby?
the event took too much effort,هاد الحدث كان كايجيب على القوة,This event was a contest on the strength
Just kidding,غير كايهزّ,Not a problem
as a trainer,كمدرب,Like a teacher
he gave her 10 ryal,عطاتها 10 ريال,Give her 10 rials
he went to  work in the morning,مشا لخدمة ف الصباح,Mass for the morning service
you are too late to pay your bills,تعطلي بزّاف باش تخلص ليك فاكتورات,Give me the money to finish your business
The wedding will be finished early in the morning.,العرس غادي يكتمل بكري فالصباح,The service will be completed in the morning
It's ringing,كايزني,How do I live?
be careful,كونو واعرة,Always be a good one
many people attacked qatar,بزاف ديال ناس هربو على قطر,Lots of people have been to Qatar
Why don't you want to count how many study days,علاش مابغيتيش تحسب شحال ديال الأيام ديال القراية,Please count the days of the village
you are like a brother to me,نتا لي كايتبنى,I never had a book
"On my side, I'm gonna cook a great tagine!","من جهتي, أنا غادي نطيب شي تاجيني زوين!","From here, I will write something my tajeun!"
it is hot today,سخون اليوم,The day is so hot
i work in the evening,كانخدم فالعشية,He was a teacher at night
I'd love an Fanta,بغيت نتا فانت,I want a girl
And prepare a chemistry experiment,و إعد شي تجربة ديال الكيمياء,And do some experimenting on chemistry.
Why don't you want to object this decision,علاش مابغيتيش ت عترض على هاد القرار,I hope you won't be able to make this decision
i don't know if you are alive or dead,ماعرفتش واش حية ولا ميت,I don 't know whether you live or die
this is mind blowing,هادشي كايبقى كايبقى,That's how it is.
you are too late to shoot him,تعطلي بزّاف باش تقتّب عليه,Give me a little to get him
Royal wedding,العرس ملكي,The old king is my king
i dont buy too many books,ماكانشري بزاف ديال الكتوب,I never had the opportunity to buy so much of the book
eveything is expensive,كولشي غالية,Colchi gallia
When will you find a balance between all your responsibilities?,إمتا غادي ت لقاو توازن بين كلّ مسؤوليات ديالك؟,Will you ever find a balance between all the responsibilities I have?
you still have a long road ahead,راه راه راه طويل ليك,The way is long for you
Are you out of your mind?,واش خرجتي من عقلك؟,Did you get out of your mind?
hey man,سلاميا,Hello
And thank you for the chocolate bar,و شكران على الشوكلاته,And thank you for the deal
is that what you mean?,واش هادشي لي كاتقصد؟,Is that what you mean?
i will not go hard on her,مابقيتش باغي ن حدّد عليها,Keep your mouth shut
i thought that this job will be unlucky,كان كيسحاب ليا غادي يكون هاد الخدمة غير مزيانة,If there were a friend there would be no service
go congratulate him,سير تبرو عليه,Sir congratulations on him
this food is bitter,هاد الماكلة مامترة,This is the last meal I've got.
yes until it's fixed,آه حتى تصلح,Ah until you get better
give me some time,عطيني شوية ديال الوقت,Give me some time
you started studying,بدا تقرا,It's your turn
your father left you everything,الواليد ديالك خليتك كلشي,The child said everything to you
no one,تاحد,Until then
I'm feeling a bit nervous to be honest,أنا كانحس بالعصب شوية باش نكون صريحين,I was so nervous about being honest with you.
We're going back to work together,غادي نرجعو للخدمة معا,We'll go back to the service together
Your seminar sounds interesting.,سمينار ديالك كايبان زوين.,The seminar of your caban is very good.
where is he?,فين هو؟,Where is he?
i will stay here,أنا غادي نبقى هنا,I'm going to stay here
good morning,صباح الخير,Good morning
wait for me there,تسنّا ف غادي,Thank you very much
where will i go ?,فين غادي نمشي؟,Where are you going to go?
her family is nice and intellectual,العائلة ديالو مزيانة و فكرية,The family is decent and thoughtful
her situation is bad,الحالة ديالو خايبة,The situation is very bad
if only prayed in time,كون غير قدرت نصلّي فلوقت,Being unable to solve this problem
that's true!,هادا صحيح!,That's right!
I'll take the basket if it's full!,أنا غادي ندير السلة إيلا كانت مليحة!,I'm going to make sure the party is not over!
she doesnt appear,ماكاتبرزش,I'm not going to talk.
i'm going crazy,أنا غادي نختل,I'm going to pick
can i pulldown the blinds?,واش نقدر نستخرج ليك لبرديان؟,Can we get you out for breakfast?
tell them to clean the carpets,ڭولهم يديرو ليهم لفرش,Just take them out for a fish
"Apparently, some high-quality thing for 1700 dirhams.",على ماكره، شي حاجة عالية ب 1700 درهم.,"Please, something high 1700 dirhams."
he lives here for many years,كايعيش هنا لسنوات بزاف,I've been living here for years
we need to go to them,خاصنا نمشيو عندهم,We especially go to them
you are too late to go escalate,تعطلي بزّاف باش تخرج و تبرّع,Give me a little more time to get out and get out
we discussed everything,درنا كلشي,We all did it
our training really paid off in today's match,التدريب ديالنا كانو مزدوين ف الماتش ديال اليوم,The training of us were employed in the matches of today
i didnt see her,ماشفتها,What do you want?
They will put lipstick on the bride.,غايجيبو لحمّام على العروسة,I'm going to have some fun on the bride
I've been reading a novel for a month.,شهر هادي كانقرا واحد رواية,The only way to go to this city is to go to this city
she show in her eyes,كايشوف ف عينيها,Look in her eyes
you wont get another opportunity,ماغاديش تلقى فرصة أخرى,Magadhish got another chance
you dont know who i am,نتا ماكانعرفيش شكون أنا,I didn't know who I was.
he got drunk,سكر,Sugar
gather utensils,جمعي الأدوات,Friday the Tools
That's exactly what we're gonna do,هادشي بالضبط لي غادي ندير,That's exactly what I'm going to do.
That is true.,هادشي صحيح.,That's right.
Saturday is fine,نهار السبت مزيان,This is Saturday
will something change,واش شي حاجة تغير,Wash something you need to change
dont forget to take this to bath,ماتنساهش ديه لبان,I'm not going to lie to you.
do not hesitate to come back to me,بلا ماتردش عاود ليا,Without your help I'll live
enter welcome,دخل مرحبا بيك,Come on in.
I am a jewish,أنا يهودي,I am a Jew
thanks teacher,شكران أستاد,"Thank you very much, teacher."
"We could even ask people to come with stuff, right?",إمكان حتا نڭولو ناس يجيو معاهم شي حاجة، صح؟,"We can't even get together on one thing, right?"
that thin girl is drinking milk now,هاد البنت الحميدة كايشرب الحليب دابا,This is the day of the Lord's mercy
you like to be here,كيعجبك تكون هنا,I need you here
what remains i gave you,شنو باقي لي عطيتك,"Listen to me, I gave you the rest"
they have fought with knifes and words,راهو كايقاتلو بليف و الكلمات,How can we fight the words and the words
Try a piece of our best steak.,جرب شي شريحة ديال لحمنا أحسن لحمض,Try some of the best meat for the meat
bad times,وقتات خايبة,Time is up
she surprised me,عجبتني,I was amazed
I dont think he will sit on his motobike,مانضنش غادي يجلس على موتوكيل,I'm sure I'll be sitting on a motorcycle
i want to ask you honestly,بغيت نسولك بصراحة,I want to tell you the truth
why you dont wanna wake up,علاش مابغيتيش تنبقا,Alas there is no warning
Are they any good?,واش راهوم مزيان؟,Do I have fun?
can you com to park now,واش تقدر تجي تعرض لبارك دابا,Can you get a present for your blessing?
"And the bartender's an idiot, so you could always hire him as a jester!",و البارمان أحمق، علاش إمكانك تعيّر ليه دكشي لي كايجيب ليك!,"And the best barman, you can just ask me to give you a break!"
I like wearing gloves,كايعجبني نلبس القواطس,How do I get dressed?
I dare you to endure this pain,نتحداك ت تحمّل هاد الألم,Can you bear all this pain?
what did you eat today,أش كليت اليوم,I finished today
you did a good wedding,درتي عرس زوين,I'm here to teach you
we were good with each others,كاننا مزيان مع بعضنا,We were enjoying each other
my brother came,راه وصل خويا,How did you get there?
you are amongst men,نتا بين الناس,Not among the people
everything is yours,كلشي ديالك,All yours
we don't have this type,ماعندناش هاد نوع ديال المرا,I don't want this kind of a date
What happened back then?,اشنو وقع من هاد وقت؟,What happened in this time?
I want to try,بغيت نجرب,I want to try it
i will give work to another one,أنا غادي نعط خدمة لشي واحد آخر,I'm going to serve another one.
i don't know why honesty is bad,ماعرفتش علاش الصدق خايب,I don't know if the truth is true
we will come in 5 mintues,غادي نجي من هنا ف 5 مينوت,I'll be here in 5 minutes
Is he kidding?,واش كايزحك؟,Can you laugh?
the salon is well decorated,سالون مزيان,Salon of the pleasant
are you on the train ?,واش نتا فترين؟,Have you seen?
respect me and look in front of you ,حترمني و شوف من قبل,See you before you get out of here
my father stared at me,بابا كان كايحدق فيا,Dad was a realist
i assured him,أنا كنتيق ليه,I was looking for him
sports improve heart health,الرياضة كايحسن صحة القلب,Riyadh is like the heart
my dog has blue eyes,كلب ديالي عينين زرق,The club of the eyes
"Honestly, they didn't understand anything and we got tired explaining. ",صراحة مافهمو شي حاجة و مانديننا كتفسّر ليهم,I just want them to have something and we have to explain it to them
i will stay here,أنا غادي نبقى هنا,I'm going to stay here
i thought that i will stop taking drugs,كان كيسحاب ليا غادي نستيقد من هادشي لي كايسخّرني,If I had love for you I would be here for you
i cant go with my stomach,مانقدرش نمشي مع معدي,We appreciate you walking with me
Have you tried ask someone for food,عمرك جربتي تلب شي حد ما يعدّك,Your age has meant you nothing
if you couldnt help please tell me,إيلا ماقدريش تساعدني عفاك قولي ليا,If you can help me tell you
"yes, the underwater world is breathtaking",آه، العالم تحت الماء كايعجب,"Ah, the world is under water I wonder"
Not so great,ماشي مزيان,I'm not having fun.
I forgive you,كانسامحك,I could have laughed
Hello Miss could I talk to you for a few moments please?,أهلا سيدتي تقدر نودّر معاك شي شي لحظات عفاك؟,Can you please have a moment of rest with me?
i will let my kids die from hugner,أنا غادي نخلي ولادي ماتو من العنق,I'm going to bed and I'm going to die of a fever
i thought that  he will come to a good conclusion,كان كيسحاب ليا غادي يجي ل نهائي نتيجة مزيانة,Was there a way to get a good result?
take this with you,خدي هادشي معاك,God is with you
"Please, it's always nice to see you, you know.","عفاك, دايما مزيان نشوفك, راك عارف.","Sorry, always nice to see you, Raq Arif."
See you in a bit,نشوفك على شوية,See you on the road.
talk without keeping quiet,كلم بلا ما تبقى سكت,I didn't know what I was doing
put milk in the soup,دخل لبن ف الحساء,Put in the lemon soup
No other special recipes. Only coffee English style.,ماعنديش وصفات خاصة أخرى. غير القهوة بنمط إنجليزي.,I have no special recipes other than coffee in English.
i cant sleep night,ماكانسدش نعس,I didn't want to live
who is your hero?,شكون هو البطل ديالك؟,Who's your boss?
i will tell him we deserved to win,أنا غادي نقول ليه بلي كان يستاهل لينا نربحو,I'm going to tell him that he could have earned his living
how much did you buy your house?,شحال شريتي دارك؟,How's your contract?
"Everyone is sleeping, I'm keeping watch over them.",كولشي كايعس، أنا كانحافظ عليهم,"College is good, I was looking after them"
if only I could give up,كون غير قدرت نستسلم,Being unable to deliver
women are naked,راه العرا نساء,The way of the women
which foot you play football ,فاش كتربّي ف كورة,Fash Kurtha in Korra
turn off your phone,سدّ تيليفونك,I got your phone
I don't get any free time. ,ماعنديش وقت فراشي,I don't have time
he doesnt make things up,راه ماكايبداش شي حاجة,I never saw a thing like that
i thought that he called his friend,كان كيسحاب ليا غادي يتصل على صاحبو,He was going to call his own man
Take me home please,ديني لدار عفاك,I'm going to take your life.
what this impoliteness,أش هاد العيب,Ash had al-يب
You don't want to win money,مابغيتيش تفوز فالفلوس,What's left of the falflos
your business,مشروعك,Your project
whats the matter with him,أش هادشي لي عندك,I'm glad you've got me.
how do you always know the right words to say when i'm feeling down?,كيفاش ديما كاتعرف الكلمات الصحيحة باش تقولها ملي كنت كانحس بيه,How long have you known the right words to say?
dont eat at peoples ,ماتكلش ف البلاد,You're not in this country
you became leaner,واكسّت ديك لور,I've been waiting for you.
What a disaster,أوا هادي الكارثة,Or is this the disaster?
silly me,أنا لي كايبغيني,I just want to see you
i don't need this,ماكانحتاجش هادشي,I didn't need that.
my mom phone is working,تليفون ديال ماما كايخدم,My mom's phone is on the line
Have you tried to wander off during night,عمرك جربتي تدور ف الليل,Your age has been trying me out all night
Let me change clothes,خليني نبدل لحوايج,Let me change the way
They talk too much,كايهدرو بزّاف,I see too much
I think of setting alarm,تانفكّر واش نقدر نستّيق ليك,Don't you think we can help you?
i was focused,كنت كنت كنت راجعة,I was a little old
he doesnt understand anything,راه مافهم تاحادي حاجة,How do they get along?
will the air flow follow me to school,واش هاد الهواء غادي يتبعني لدار,Wash this air so that it will be cleared to me
you are a hypocrite,نتا منافق,No profit
i want makeup,بغيت الماكياج,I want some milk
it is none of your business,هادشي ماشي ليك,That's all I've got for you
Have you tried improve our community,عمرك جربتي تحسّن مجتمعاتنا,Your age has to be good to our communities
Do you travel for your work or a tourist?,واش كاتسافر لخدمة ولا سياح؟,Have you ever been to tourist services?
its sufficient,هادشي كافير,This is a good coffee
the weather is magical,الجو سحري,The weather is so beautiful
it's not gonna repeat,ماغاديش تكرّر,Magadhish repeats
he is a child playing with the curtain,راه ولد كايلعب فديت,How did a child play the fiddite?
We are from the U.S.,هنا من أمريكان,Here is an American
today i want to cry,اليوم بغيت نبكي,Today I want to talk
it is impossible whenever we go out you fight someone,ماعمرش فاش كانهزلو نخرجو كايخوضو شي واحد,I am old enough to spend more than one thing
dont understand,مافهمش,I'm sorry
i need to rest a little bit,خاصني نرتاح شوية,Especially after a little break
along with some fresh vegetables,و مع بعض الخضرا,And some of the goods
i will understand the lesson,أنا غادي نفهم دروس,I'll get to the lesson
alone and crying,بوحدي و بكي,I'm just crying
stare,نڭول,We're not
there some things difficult to forget,كاينين شي حاجة صعيبة تنساه,There is nothing that is difficult to remember
He covered his face and wept,سدّا وجههو و درا,Sadda face and dra
Have you tried to vandalize someone else proprities,عمرك جربتي تفرج شي واحد غير من الممتلكات,Your age is the only thing that is not property
The socks stink,القوارب ريحان,Al-Qawrab Rihan
wait for me a little bit please,عفاكي شوية عفاك,I'm sorry a little bit.
why you dont wanna object this abuse,علاش مابغيتيش ت معترض على هاد التهدر,May you not be displeased with this discourse
we are not preparing an italian meal,ماغاديش ندويو الماكلة إيطالية,I never saw the Italian restaurant.
go heal yourself first before you travel,سير عافي راسك قبل ما تسافر,Take a walk before we travel
They'll change your mind,غايبدلو ليك راسك,I'm going to see you.
You should always think about yourself,ديما خاصك تفكر ف راسك,Dima especially thought about your race
what to tell him,أش نقول ليه,I'm telling him
i went,مشيت,I'm going to
She needs money for her sister's surgery.,محتاجة فلوس لعملية ديال ختي,I need money for my business
I don't carry a phone.,ماكانش فبيت.,That's not true.
the keskas,الكسكات,The power
lets go outside,أخرجو,Get out of here
i didn't find transportation,ما لقيتش ليا شي طيران,I never found anything flying
i just took a nap,غير خليت ناعس,No one is allowed
what I want is to get away from this problem,لي بغيت هو نخرج من هاد المشكل,I wanted him out of this mess
I found a salmon and beef cheeks,لقيت لسمون و لحم البحر,I found salmon and seafood
I'll call you tomorrow morning,أنا غادي نتصل ليك غدا صباح,I'll call you tomorrow morning
go take a picture,سير تلتف شي صورة,Walk down the street
why do we care,مالنا,Malna
i thought that  he will see who is working,كان كيسحاب ليا غادي يقدر يفتي من لي كايخدم,If you like me you can come and serve me
There's the big red button!,هاك البوتون الأحمر الكبير!,Here are the big red boots!
i have gived my word,أنا وديت ليا كلمتي,I'm just going to talk to you
I am American,أنا أمريكانية,I am an American
i will emprove this country,أنا غادي نستعير هاد البلاد,I'm going to borrow this country
these are fresh fruits,هادوك الفواكه طازجة,Have a nice and warm day
"Thank you, that's great advice!",شكران، هادشي نصيحة مزيانة!,"Thank you, this is a good advice!"
I went out and caught cold. ,خرجت و خدّيت البرد,I went out and got cold
you need to be interested first,خاصك تفرج أولا,Especially first look
i will hid this barking dog,أنا غادي ن تخبي من هاد الكلب لي كايغدو,I'm going to make this one for you
the engine of the car,موتر ديال طونوبيل,The future of the city
this dog is big,هاد الكلب كبير,This club is big
quarter of an hour,رباع ديال ساعة,Quarter of an hour
go take bank loan,سير سلف لبنك,I'll walk by myself
my friend is calling me,صاحبي كايتليفوني,My friend just called me
they don't like comedy,ماكايعجبهمش الكوميديا,I never saw them in the comedy
do you have girlfriend,واش عندك صديقة,Wash your friend
leave me alone a bit,خلي ليا شوية,Stay for a while
play in your room,تلعب ف بيتك,Playing at your house
come lets go,أجي نخرج,Let's go out
he's on edge right now,راه كايحسّن دابا,Way like that
We don't have this in Europe,ماعندناش هادشي ف أوروبا,We have no more than this in Europe
I've never eaten hamburger,ماعمرني ماكلت هامبرغر,My mother has always taught me hamburgers
i will support you to succeed,أنا غادي نعاونك باش تنجح,I will help you succeed
she remembered what happened,تذكرت داكشي لي وقع,I remember you didn't want me to stop
ists a good idea,هاديك فكرة مزيانة,This is a good idea
do you have other papers,عندك شي ورقيات أخرى,Do you have any other papers?
there too,هتا هتا,Here we go
How many sisters do you have?,شحال من أخوات عندك؟,How are your siblings?
You don't want to invent something ,مابغيتيش تخلّف شي حاجة,You can 't leave anything
Forget it.,نساها.,I didn't.
how much time will you put in this work,شحال غادي ت دخل ف هاد الخدمة,How will you enter this service?
if only I could leave you all my stuff,كون غير قدرت ن خلي ليك كل شي حاجة لي عندي,I can 't let you have everything I need
how do people express affection in this country?,كيفاش كايعبرو ناسّ على الحب ف هاد البلاد؟,How do I get people to love this country?
try to undersatnd me,حاولي تفرض عليا,Try to get over it
they love him for his qualities,كايعجبو على صفو,How can we keep clean?
He doesnt mind hsi business,ماشي معروض على لعمليات ديالو,I am not a prospective on this business
pay attention,راعي على هادشي,Ra'i on this thing
i went but he was suspecious,مشيت و كان مشكوك,I was out and there was a problem
why do you lie,علاش كادب على هاد لشي,I hope that this army will be able to keep me alive
i want to brush my teeth,بغيت نفرشّسّ سنانيا,I want to get some fresh air
the timing for traveling is right,وقت ل سفر مناسب,Time for travel
Wait!,سدو!,Get out of here!
look to his spouse,شوفي على زوجي,Show me my husband
i'm better left alone,كانحسن لي خليها بوحدي,It was better for me to leave her alone
all of them are closed,كولاها مكاتبوش,Kolaha is not talking
"Oh yes, there is.",آه، كاين.,"Ah, there is."
You make and design elevators but this one breaks every day,كتصنعو و ت تصمم المصاعد و لكن هاد واحد كايكسر كل نهار,You made and designed the product but this one has been all day
In the name of God!,بالاسم الله!,With the name of Allah!
look far,شوف بعيد,Just look away
i'm convinced that a power nap can solve most problems,أنا مقتنعة بلي ناصفة ديال القوة كايحلّ معظم المشاكل,I'm sure that the power of the power is enough to solve most problems
he did insult me,هادي هدرني,Headed me
can I come in?,واش نقدر ندخل؟,Couldn't you get in?
they told about people and gossip,كانو كايحضرو على ناس و كايحضرو,They were on our side and they were on our side
"There's a restaurant nearby, you could go from time to time, even if the staff doesn't like to go out.",كاين شي ريسطوران قريبة، تقدر تمشي من وقت لفترة، حتى لواليد ماكيحبّاش يخرجو.,"There is a restaurant nearby, you can walk from time to time, until the baby leaves."
When will you get some proper support from the government,إمتا غادي ت حتاج شي دعم من الحكومة,I'm going to get some government support
And I guess he's a little bored during the day,و كانضنّ بلي كايملّ شوية ف النهار,And I thought I could do a little bit of the day
can we meet tomorrow,نقدر نشوفك غدا,We'll see you tomorrow.
no harm done,ماعندوش شي خسارة,We have no losses
i want happiness to come home,أنا بغيت السعادة تجي لدار,I want to return to the house
he wants a cafe machine,بغاه واحد ماكين ديال القهوة,There is only one machine for coffee
like always,كولا مرة,Always
you should never select when you are losing,عمرك تحدّد فاش كايخسّر,Your age is too long to be lost
if only i turned off my brain,كون غير قدرت نطفّل دكشي لي كايدير,Can't you just give me a little bit?
any news about you ?,واش كاين شي خبر فيك؟,Didn't you hear from me?
You don't want to meet him,مابغيتيش تلاقاه,I've never seen him before.
you got so fresh from shower,دحتي بزّاف من الحمام,Dehti z'af from the bathroom
people forget about their children,ناسّ كاينسّو ولادهوم,People are born and brought home
it was about a nonth since we did go to the sewer,كان ماشي كايجوز منين مشينا ل ليكومينار,It was a machine that was going to be a machine for you
i was confused at time,كان خايب فالوقت,I was lost in time
i did many analysis,درت بزّاف ديال التحليلات,You gave me a lot of analysis
"The mini-skirt and the summer shoes, in April and in a long time, it's a risk.",القميص و الأحذية الصيفية، في شهر أبريل و فشي وقت طويل، راه خطر,"Summer shirts and shoes, in April and a long time, the way is dangerous"
I'm waiting for you to peel figgs,كانتسنّا فيك ت قشّر ديك لفرخ,We were just trying to get you to go to the hospital.
no one can move this box,ماكاين شي واحد لي يقدر يحرك هاد الكوتاب,There is nothing I can do to help you with this book
from one point it'is right,من نقطة واحد هيّا صحيحة,From one point on this is right
you are too late to father your clothes,تعطلي بزّاف باش تبرّس حوايجك,Give me a lot of money to keep your hands to yourself
let me think about it,خليني نفكر فيه,Let me think about it
you have bnothing to photo,ماعندكاش ليك تصوير,I'll take a picture with you.
"The guest, if she doesn't arrive, it's her fault.",الضيافة، إيلا ماجيش، غاتكون غلطتها.,"Hospitality, Ila Majesh, you will not miss her."
how did you find a job,كيفاش لقيتي الخدمة,How did you get my service?
i didn't get enough of you,ماكنتش كايسعدك,I could never please you
he matured,راه كبر,The way of the world
you the only one who can laugh,نتا لي كايقدر تضحك,Don't tell me how you can laugh
My programme is on in a minute,البرنامج ديالي غادي يخرج من دقيقة,My program will be out in a minute
minimal,القليل,Al-Khalil
you know nothing,نتا ماعرفي شي حاجة,I don't know what I need.
who put this here ?,شكون لي وضع هادشي هنا؟,Can I put this thing here?
unwanted,غير غير مطلوب,Unwanted
you should never act like this,عمرك ت دير بهاد الطريقة,You're living with this method
"I'd like to keep it quite small, say for around 30 people","بغيت نبقيه صغير بزاف, قول ليه ل 30 ناس","I want to stay very little, tell me 30 people"
i will finish this movie,أنا غادي نخلص هاد الفيلم,I'm going to finish this movie.
she loves playing the guitar,كيعجبها كاتلعب على الجيتار,How do you answer her to play guitar?
i made my hair today,اليوم سدبت شعري,Today I have my hair
I have a friend who's in a music group,عندي واحد صاحبي كاين فشي مجموعة موسيقية,I have only one friend and there is no other group of musicians
god help you,الله يعاونك,God help you
I don't think it's a matter of time.,مانضنش مسألة ديال الوقت.,I don't think it's a matter of time.
turn with gytan,دور مع الغيثان,Away with the others
we should care for young boys,خاصنا نعتني ب البنّ,Especially me and my son
Please tell her her mom called,عفاك قوليها ماما عيطات,Please tell her mom atat
he has it,عندو,We have
lets answer,يالله نجي نعيطو,Oh my God
go solve homework,سير حل ليك لخدمة,Look for a solution for your service
nonsense,هدر,That's right
Oh them!,آههم!,They're here!
As soon as possible,قريبا,Soon
i called my friends to go take lunch together,عيط ليا على صحابي نتغداو معا,Please get me a date and have lunch together
"Great, thank you",زوين، شكران,"Zwin, thank you"
sun is hot,شمش حرارة,There's a lot of heat
he is drowning in work,راه كايغرق فالخدمة,The way to the service
stop being envious,بلا ماتحسد,Without shame
this is from phone,هادشي من تيليفون,This is from the phone
why is this all,مالك هادشي كولا,I got this thing
But you told me you'd go to the market this morning!,و لكن قلتي ليا غادي تمشي للسوق هاد الصباح!,But I said I'd go to the market this morning!
i'm competent,أنا مسؤول,I am responsible
i thought that  he clean his teeth,كان كيسحاب ليا غادي يسبح دكاس,I wish I could have been there to sing you a song
My father has been there.,كان بابي غادي.,There was my dad there.
"Oh, yes, I can see that.","أوه, آه, كانشوف هادشي.","Oh, ah, Kanshov hadshi."
suggest a good doctor,تقترح شي طبيب مزيان,I'll give you a doctor's suggestion
I dare you to ask her for marriage,نتحداك ت عاودقها,Did you ever get to see her?
I'm waiting for you to be fair with your students,كانتسنّا فيك ت عدل مع طلابك,We were wondering if you could change your students
I feel like we're lost,كانحس بلي حنا ضايرين,I could feel that we were going through some trouble
she can,ممكن,It may be
i will spoil you shirt,أنا غادي نخرّس ليك ترودي,I'm going to get some sleep
he is not well behaved,راه ماعندش حسن,That's the way
I cut it somewhat large. ,قطعتها كبيرة شوية,Cut it up big enough
the country is improving,البلاد كايتحسن,The country is getting better
Mojito for me please,موجيتو ليا عفاك,I'm going to ask you
why do you ask him,علاش كاتسولو,Allah is not alone
i aonly listen,أنا غير كانسمع,I wasn't listening
When will you try something new?,إمتا غادي تحاول شي حاجة جديدة؟,Are you ever going to try something new?
the electricity went out,تومّل ليكتر,Wait a minute
she went alone,مشات بوحدها,She's going to be alone.
you need to get tested for covid,خاصك تلق شي تيسير على كوفيد,You'll find something easy to do
tomorrow at morning i will go,غدا ف الصباح غادي نمشي,Tomorrow morning I will grow
does she knows that people can see her,واش عرفت بلي ناس كايشوفو,I knew there were people out there
"Oh, no!",أوه، لا!,"Oh, no!"
dont count him as a friend,ماتحسبوش صاحبي,"You're not counting, my friend."
"Come on, sing for me",أجي غنّي ليا,I could sing for you
she did not succeed ,ماعمرش ليها,I'm not old enough for her
i need sockets,خاصني صواريخ,Especially on the day of the event
Wait...,توقّف...,Wait...
look your education where got us,شوف تعليم ديالك فين جبتنا,Show your teaching to our fans
"That's great, have you made any friends here yet?","هادشي مزيان, واش درتي شي صحاب هنا؟","This is good, is there anything here?"
its not to this point,راه ماشي حتى هاد البلاصة,I'm not going to this place
where you want,فين بغيتي,I'm not interested
"i'd rather not, thanks",ماعجبنيش، شكرا,"Not to be missed, thank you."
if only i didnt need anything,كون غير قدرت ن ماتحتاجش شي حاجة,Being unable to do anything you need
i was pregnant,كنت حاملا,I was pregnant
you dont nothing,ماكايبقىش كايبقى,I never knew how to survive
where did you see this,فين شفتي هادشي,I'm going to see you.
if only I could peel off my orange,كون غير قدرت ن قشّر ليمون,I can't make the lemon
come with me,أجي معايا,I'm here to see you.
See you.,نشوفك.,See you.
i dont think he go to her while naked,مانضنش غادي عندها عرا,I'm not going to stay there with her
its not my cup,ماشي كاس ديالي,What a day
