Original Eng,Translated AR
a girl is always going in and out,راه دايما بنت كايدخل و كايخرج
i looked well,كانبدو مزيان
you should never close the door,عمرك تسدّ داك الباب
I have hope,عندي الأمل
He had a meeting,كان عندو اجتماع
weight in this suitcase please,وزن ف هاد ليساك عفاك
why do you look so down in the dumps?,علاش كاتشوف فالمساكين؟
what's a goal you've achieved that you're proud of?,اشناهيا الهدف لي حققتيه لي كتفخر فيه؟
I decided,قررت
you should never correct exams,عمرك ت ديكر المتحانات
hows your room,كيفاش بيتك
next year i need to work,العام جاي خاصني نخدم
i'm watching a movie,كانفرج فشي فيلم
and sun,و شمش
you want to kill her,بغيتي تقتلها
he is manupilative,راه كايديرو
Why don't you want to dare him are you afraid to lose,علاش مابغيتيش تحدّاه واش خايفّك ت خسر
I have played a little in the past.,كنت لعبت شوية فماضي.
why you did come now,علاش جيتي دابا
i do not know,ماعرفتش
Let me break his bones,خليني نكسّر ليه العظام
I am like you,أنا بحالك
if only I could mix these two books,كون غير قدرت ن خلّط هاد دوك كتيب
I dont think i wil lgrow,مانضنش غادي نقدر نعاود
i need to talk to someone,خاصني نهضر شي واحد
take a copy,خدي نسخة
"I'll give you that, it's fun",أنا غادي نعطيك هادشي، هادشي مزيان
the whole day i'm going in and out of the stairs,نهار كامل كاندخل و نخرج من دراج
he is introverted,راه متخفف
"Based on the traditional method of communication, we might be able to get us out of this.",على أساس الطريقة التقليدية ديال التواصل، إمكان لينا نخرج من هادشي.
We have a plan,عندنا خطة
he didn't wanna listen,ماكانش باغي يسمع
he told me i have cold,قال ليا عندي البرد
put a lot of efforts,كايبقى كايديرو بزاف
take my sheets,خدي ليا سدّ
"a ticket for the city, please",تيكة ديال المدينة عفاك
he was yelling,كان كايغوت
i built a villa for 50 millions,بنيت واحد الفيلا ب 50 مليون
I made pancakes and msemen.,درت ليا البن كيك و الماكلة
this is a special dog kind,راه نوع خاص ديال الكلب
to drive ,باش نعيد
it will look disrespectful if I don't go,غادي يبين غير غير غير غير غير غير ماخروجش
this is end of the week,هاد سيمانة هادي
Live with the situation and relax.,عيش مع هاد الوضع و نرتاح
this advice man,هاد النصيحة
you should never disturb your friend,عمرك ت تخلّص صاحبتك
i thought that he broke his hand,كان كيسحاب ليا غادي يكسر ليه ليد
He took a hot shower,شحو ف حمام سخون
mary will visit her aunt tomorrow,غادي تزور خالتها غدا
But I'll offer to study your situation,و لكن غادي نقدم ن درّس لحالّ ديالك
new tjhis one try it,جربو واحد جديد
i prefer to sit,أنا كانفضل نجلس
i'm her dad,أنا بابا ديما
"Hey, let's go and play volleyball?","سلام, يالله نمشيو نمشيو لعبو فوليبال؟"
Just go away and think about your priorities and what you want to achieve,غير سير تفكر فالأولويات ديالك و أش بغيتي تلب
go in the evening,سير ف العشية
I need you to tell me,خاصك تقول ليا
He lives in this house by himself,كايعيش فهاد الدار بوحدو
What brings you here?,أش دخلك هنا؟
he is always drunk,هو ديما سكران
do you prefer reading books or watching movies?,واش كيعجبك تقرا كتب ولا تشوف أفلام؟
i don't save money at the end of month,ماكانجمعش فلوسّ ف نهار شهر
We'll go into town tomorrow.,غانمشيو لبلدة غدا.
go do the surgery,سير دير العملية
i have no one,ماعندي تاحد
I'am happy,أنا فرحان
rest my daughter,بنتي راحة
Let me appear to them,خليني نظهر ليهم
Why don't you want to wait,علاش مابغيتيش تسنّا
Have you tried to give off to charity,عمرك جربتي تبرع لشي خيرات
nothing changed in you,ماكاين تغيرت فيه
Have you tried play sports,عمرك جربتي تلعب الرياضة
Perhaps with Chantilly cream?,إمكان مع كريم ديال شانتلي؟
i'm waiting for you to count me,كانتسنّا فيك ت عدّل ليا
bribe could get you to rule,البهاء لي كايجيب ليك تسيطر
we have the biggest mall in africa,عندنا أكبر مول ف أفريقيا
this shirt is no longer good,هاد القميص ماعمرش مزيان
Bring me another one soon.,جيب ليا واحد آخر بزربة.
but he dforsake his wife,ولكن خليت راجلتو
I have a friend who's in a music group,عندي صاحبي ففرقة موسيقية
Please close the house,عفاك سدّ دار
i love gifts,كايعجبني الكادو
this year was the best year,هاد العام كان أحسن عام
the coach is waiting for us he will give us his tactics,راه كايسنّا المدرب غادي يعطينا تكتيكات ديالو
go dress up,سير حوايج
what is the most awkward situation you ever found yourself in?,أشناهوا أسوأ شي حاجة حايرة لي وقع فيها راسك؟
I can't help you,ماكانقدرش نعاونك
It's especially at night,خاصة ف الليل
Don't you want to help me set something up?,مابغيتيش تعاوني نستعد شي حاجة؟
a big dish,واحد طبق كبير
made aboard,طاخرة ف البحر
the weather is hot today,اليوم هوا سخون
Have you tried to justify your mistake,عمرك جربتي تبرّر ليا ماكملت
the room is spacious,راه فراسي هاد الغرفة
I don't know what to do,ماعرفتش أش ندير
I dont think  he will slide in snow,مانضنش غادي يزلق ف الثلج
I go to the gym,كانمشي للصالة
 i dont know what i say that,ماعرفتش أش غادي نقول هادشي
without accompanying him,بلا ما ترافقو
I dare you to rob this big man,نتحداك تسرق هاد راجل كبير
no need to study,ماشي حاجة ت قرا
if only I could study in this university,كون غير قدرت ن قرا فهاد الجامعة
He is happy,هو فرحان
I'm waiting for you to answer my call,كانتسنّا فيك ت جاوب ليا ليا
i couldn't call anyone,ماعمرني نستدعو لشي واحد
It got me a little bit worried.,راه قلقت شوية
he deosnt have wifi,ماعندوش ويفي
stay like that till morning,تبقى هادشي حتى صباح
it is not a good idea,ماشي فكرة مزيانة
its on trending,راه كايدير
the kitchen is bih,الكوزينة صافي
we are only doing our work,غير كنخدمو خدمتنا
you are too late to help cooking,تعطلي بزّاف باش تساعد في الطيب
Maybe we can get an autograph at the end.,إمكن نقدر نلقاو شي توقيع ف نهار.
how you going to pass time with her,كيفاش غادي تقضي معاها الوقت
this is too much,هادشي بزّاف
i will leave i think,أنا غادي نخرج نضن
you said it,قلتيها
if only I could i cheated,كون غير قدرت ن خدّع
We need to work out what to do.,خاصنا نڭوليو اش ندير.
make fortune,يديرو ليك شي حاجة
worthwhile,لي كايدير
You don't want to extend the contract,مابغيتيش تمدّد لكونطرة
The staff seems very caring,كايبان ليا الموظفين كايهتمو بزاف
He is very lazy,راه عرس بزّاف
the day of hanna was done,نهار حنة كان كامل
it is fine sister welcome,راه مزيانة أختي مرحبا بيك
i need a stick,خاصني شي عصا
they had a promotion,كانو عندهم ترقية
I think if i closed the bag,تانفكّر واش سدّيت ليك ساك
I'm waiting for you commit a crime,كانتسنّا فيك ت ديكر شي جريمة
stay in front of mosquet,بقية فجبهة ديال المسجد
i forced her to marry,أنا جبرتها تزوج
maybe I should put you here,إمكن نقدر نضعك هنا
how did you do it?,كيفاش درتي ليه؟
there is many podcast out there,كاين بزاف ديال البودكيس
this living room is spacious,هاد لسالون كبير
they are spilling,كايسفرو
thanks for asking,شكران على سؤال
coming,جاي
I'm looking for a job,كنقلب على شي حاجة
You're late again. What is your excuse today?,تعطلي مرة أخرى. أش هادي ليك عذرا لي عشتو اليوم؟
i think if i got fooled,تانفكّر واش درت ليه
If you like nature it's hard to escape insect bites,إيلا كتعجبك الطبيعة صعيبة تفوت من لحشرات
the guy who you told me,راه لي قلتي ليا
he evade taxes,هادي من الضرائب
I dont think he will throw me,مانضنش غادي يفرقني
we will do what you want,غادي نديرو ليك هادشي لي بغيتي
marry her daughter,زوج بنتها
I dare you to do haj,نتحداك ت دير الحج
they make a plan together,كايديرو معا
i want to develop my personality ,بغيت نطور شخصيتي
I can't walk in high heels,ماقدرتش نمشي ب كايطلعني
Don't try to score,بلا ماتحاول تسبق
the car is broken,طونوبيلاتة كاسحة
you watch too much,كاتفرج بزاف
you should never suprvise a corrupt project,عمرك ت ت قدي شي مشروع خايب
god help me i'm weak,الله يعاونني أنا ضعيف
come to eat,أجي تاكل
go dont leave him alone,سير ماتخليهش
did they say something about me,واش قالو شي حاجة عليا
this is why  i do not want to marry,هادشي علاش مابغيتش نزوّج
the lamp is yellow,ليا ليمون
who still didn't give up heat,لي مازال ماخسّر
if only I could pay my respects,كون غير قدرت نخلص على راسي
are you fooling me or what,واش كادبني ولا شنو
I think if take the milk before it spoils,تانفكّر واش ناخد ليا الحليب قبل ما يتحلل
Absolutely!,بلا شك!
i will pay this,أنا غادي نخلص هادشي
im too excited,أنا متفرج بزاف
just relax,غير نرتاح
it's good eitherway,هادشي مزيان
"Hello, yes I'm feeling very anxious.",أهلا، آه كانحس بالقلق بزاف.
We don't want to upset them and cause a mutiny,مابغيناش نديرهم فخراصة وينا نتوّروهوم فالمتمرد
is she her enemy,واش هي عدوة ديالو
send me a copy,سفت ليا كوبي
the food isn't enough,الماكلة ماكايكفيش
this is for you,هادشي ليك
they bought oranges to sell juice,شريو ليمونات باش يروقو عصير
how many boys?,شحال ديال البنات؟
I can't trust him,ماعنديش ثقة فيه
i want to know who,بغيت نعرف شكون
What will the negafa do ?,شنو غادي يديو ليه النغافا؟
Did he finally take the time to sign up for the Gym?,واش أخيرا خرج الوقت باش يسجل فالصالة؟
He is everything to me,هو كلشي لي عندي
I'm not traveling yet,مازال ماشي مسافر
what will happen to you,أش غادي يجي ليك
i was planning to sit,كنت غادي نستعد
my son was good with them,ولدي كان مزيان معاهموم
i won't come here,مابقيتش باغي نجي ليا
i thought that he will jump from window,كان كيسحاب ليا غادي يلق من لفرجم
I thought I was being subtle...,كان كيسحاب ليا كان كايبقى خفيف...
enter the car,دخل ل طونوبيل
we try to discover ourself,كيحاولو يكتشفو راسو
can you take me to the market,واش تقدر تاخدي ليا لمركيزة
hey brother what are you saying,سلام أخي شنو كاتڭول
I think of going to sleep,تانفكّر واش نمشي نعس
i will always appreciate you even after marriage,أنا غادي نقدرك ديما حتى من بعد الزواج
I may be late,إمكن نقدر نتأخر
what happened without me,أش وقع بلا ماعندي
if you to bribe,إيلا كنتي غاتخدّع
"can you explain it once more, please?","تقدر تشرح ليا مرة أخرى, عافاك?"
I've never stolen,ماعمري سورت
What shall we do?,أش غادي ندير؟
we live peacefully,كنبقا فالسلام
this phenomenon is widespread in those places,هاد الظاهرة متوزعة ف هاد الأماكن
love is sacred,الحب مقدس
but she wants,ولكن بغا
"If we keep it that way, we'll go into the wall, for sure.",إيلا بقينا هادشي، غانخرجو الحائط، أكيد.
Do we have a deal?,واش عندنا معاهدة؟
it would make me feel happier,غادي يجعلي كايبقى فرحان
why you dont wanna look for the keys,علاش مابغيتيش تبحثي على المفاتيح
 you are too late to stop suggar,تعطلي بزّاف باش تڭلس من سكر
That's probably why I see things more serene,من المحتمل داكشي علاش كانشوف شي حاجة كتر من هادشي
Just let the time show you,غير خل الوقت يروك
Is your hand clean,واش يديك صافي؟
and i'm glad i could contribute,و أنا فرحان قدرت نعاون
i didnt bother,ماعجبنيش
i love to read books,كايعجبني قراية ديال الكتوب
Then it pissed me off,و من بعد كايعجبني
I'm waiting for you to follwo me,كانتسنّا فيك ت تبعني
i care for him,أنا كايهتمو بيه
Why dont you want to forsake this work,علاش مابغيتيش تخلّي على هاد الخدمة
take of this white,خلّس هاد البيض
this job is beneficial,هاد الخدمة مفيدة
where are you at,فين كاين
bus is late,الباص تعطّل
i won't find better then your daughter,ماغاديش نلقاو شي واحد أحسن من بنتك
thanks sis,شكران أخي
I can't believe,مانقدرش نعاود
I couldn't find any on the way,ماقلبتش ف طريق
whats the title of thsi song,شنو هو العنوان ديال هاد الأغنية
first thing,أول شي حاجة
perfect,كاملة
press the button,دبر على هاد دك
"i remember we sat there, taking it all in, without a care in the world",تذكرت كنشنا هتا، و كنا كناخدرو كلشي بلا ما كانقلب على شي حاجة
What else could you ask for?,أش كايمكن ليك تلب على غير؟
this man,هاد الراجل
if only I could speak improve to speak to me,كون غير قدرت ن حدّد ليا باش تڭول معايا
I know a couple of Thai restaurants but they're not cheap,أنا عارف شي ريسطورات تايلاندية ولكن ماشي رخيصين
i want to do sports,بغيت ندير الرياضة
Why don't you want to explain the plan,علاش مابغيتيش تشرح ليا هاد الخطة
is that my mom,هادي ماما
this is enough for me,هادشي كافي ليا
we met him,تلاقينا معاه
i watched the game,مشفت الماتش
when will i tell you this,إمتا غادي نڭوليك هادشي
"You could, although you'll have to hurry before it's too late",تقدر، و لكن خاصك تسرع قبل ماتعطل
let me see,خليني نشوف
Why don't you want to choose this topic,علاش مابغيتيش تختار هاد الموضوع
leave me alone,خليني
"Certainly, sir.",بالتاك، سيّدي.
i go each day to buy goods,كانهز كل نهار باش نشري شي حاجة
Really?,صراحة؟
I only I hadn't eat so much,أنا غير ماكلتش بزاف
november,شهر نوفمبر
the mask chokes you,ماسكي كايخنقك
he has one way,راه راه واحد طريق
Shake a leg,هزّر راسك
i miss her a lot,كانشتاق عليها بزاف
Here's your sandwich!,هادي ساندويش ديالك!
I prefer cotton socks,كنبغيو جرابات ديال القطن
dont you wanna understand,مابغيتيش تفهم
she is mad at me,راه كايبغات عليا
I've never guessed,ماعمرني ماكنتش
"Come on, rule over them",أجي حكم عليهم
we spoiled our relationship,خايبين على علاقتنا
you should never pay for this story,عمرك تخلص داك القصة
"No, no, it's no use",لا لا، ماشي مزيان
Let me fix his hair,خليني نڭول شعرو
i regret removing it,ندمت على لقاصه
you cant take anything ,ماكقدرش تاخد شي حاجة
this is a responsability,راه مسؤولية هادشي
do you know what you did,واش عرفتي شنو درتي
Americano?,أمريكانو؟
correct my mistakes,سدّح ليا ليا ليا لخطايتي
are we good ?,واش نتا؟
my grandma invited me for rfisa,جدتي عجباتني على رفيشا
i entered the water,دخلت ف الما
he spend money,كايفاني الفلوس
i want to cry,بغيت ندب
i have sciatica,عندي سيكيا
what is the bravest thing you ever did?,اشنو أكتر شي حاجة شجاعة لي درتي؟
Why dont you want to scare this young person,علاش مابغيتيش تخيف هاد الشاب
why were you late,علاش تعطلتي
The milk has turned sour,الحليب تاهل
i go shower while youget to home,أنا غادي نتحمّس و نتا كاتجيو لدار
if only i scared you,كون غير قدرت ن تخويك
the bus has came,راه وصل الباص
he is very smart,راه ذكي بزاف
didnt you see me ?,واش ماشفتينيش؟
explain to me how he succeed,شرح ليا كيفاش نجح
we were masks for covid,كانو ماسك ديال كوفيد
You must come visit me soon,خاصك تجي تزورني قريب
Have you tried to reserve a house,عمرك جربتي تحجز شي دار
dont fall,ماتسقوطش
you shoukld stay outside,خاصك تبقى خارج
he is rich,راه غني
i thought that  he will organize his time,كان كيسحاب ليا غادي يدير الوقت
trust exist,ثقة كاين
sister I'am tired,ختي أنا عيان
I dont think the shirt will wear down,مانضنش غادي يلبس هاد القميص
go justify you position,سير تبرير موقفك
dont try to cover it,ماتحاولش تسرّها
I miss you dad,تاهلني بيك بابا
why are you skinny,علاش راك حوت
"By the way, do you have your cell phone?","بالمناسبة, واش عندك تيليفون؟"
"It's not you, it's me",ماشي نتا، أنا
full houseщ,دار كاملة
we have too much taxes,عندنا بزاف ديال الضرايب
i will not have a fight with my brother,مابغيتش نتشاجع مع خويا
Do you know if the professor of physics is here today?,واش عرفتي واش أستاذ الفيزياء كاين هنا اليوم؟
how was the meeting what they told you,كيفاش كان الاجتماع أشنو قالو ليك
She'll not be long,ماغاديش تكون طويلة
Don't show off your skills,بلا ما تبرز على مهاراتك
this work is making me dizzy,هاد الخدمة كاتحسني
What is he doing in the aquarium?,أش كايدير فلوكاريوم؟
I'm not a criminal,أنا ماشي مجرم
I think of going for a walk,تانفكّر واش نمشي نمشي نتشاور
i want to go outside,بغيت نخرج
Why?,علاش؟
my husband is thoughtful,راه راجلي راجل كايفكر
you have to drink a lot of water,خاصك تشرب بزاف ديال الما
it is hot out here ,سخون هنا
I dont think  i will call you again,مانضنش غادي نعيد نعيط ليك
i'm taking you with me,أنا غادي نجي معايا
the librarian organized the books,المكتبة دازت الكتب
this made me doubt,هادشي لي عجبني
"I watch that show, too!",أنا كاندوز داك البرنامج، أنا تانحضر!
you should never put you hands in flames,عمرك ت تحط يديك فالعافية
This morning my car broke down,صباح اليوم توحّل ليا طوموبيل
How is your wife?,كيدايرات راسك؟
you are his eyes,نتا عينيه
"Thank you, ma'am.",شكراني أ مولاتي
"Oh, you've got character!",أوه، عندك شخصية!
Let me bring a cat to house,خليني نجيب لدار واحد القط
i won the game,أنا ربحت ل لعبة
"Hello, ma'am.",سلام، أليتي.
by the way,بالمناسبة
what did you eat in lunch,أش كليت ف الغدا
sit i want to talk to you,ڭلس بغا نڭول معاك
please deliver my greetings to your wife,عفاك سلم على زوجتك
i'm lighting a candle,أنا كاندير شي شمعة
its been a week since the surgery,راه سبتة من العملية
dont put too much suggar,ماتبقى ماكترش بزّاف
no need to thank me,ماتحتاجش تشكرني
you are free to do what you want,حرة دير لي بغيتي
i miss house,شفت الدار
bring with you groceries,جيب معاك شي حاجة
Let me turn on the TV,خليني ندير التلفاز
this is from one day,راه من واحد نهار
buysmall fruits,كري ليا فاكس
i went to home to rest,مشيت لدار باش نرتاح
do you enjoy cooking with friends?,كيعجبك تطبخ مع الأصدقاء؟
i have god,عندي الله
 i thought that i broken the sink,كان كيسحاب ليا غادي نكسّر هاد المسال
my wife fled the house,راجلي هرب من دار
Have you tried to lose weigh in one month,عمرك جربتي تخسّر ف شي شهر
i think if he pet an animal,تانفكّر واش غادي يدي شي حيوان
go select a good sheep,سير حدّد شي خروف مزيانة
I'm waiting for you to take me with you,كانتسنّا فيك ت دخلني معاك
give me cigarette,عطيني شي سيجارة
eat alone you deserve it,كولي تاكلي راسك تستاهل
you came in abd timing,نتا جيتي فالوقت
how i'am gonna say this,كيفاش غادي نقول هادشي
Don't give him what he wants,بلا ماتعطيه لي بغيه
To unblock the drains,باش نحلّق ديك سدّر
if only I could exaggerate to him,كون غير قدرت ن حدّد ليه
you think far,واش كايفكر بعيد
work early,الخدمة بكري
who is your doctor,شكون طبيبك
Let's say together with your difficulty,خلينا نڭولو معا مع صعوبة ديالك
the kitchen is upstairs,الكوزينا ف الطابق
did you leave them alone,خليتيهم بوحدي
i was driving,كنت كاندير
did you have lunch,واش خدعتي الغدا
u didn't find lemons,ماقداكش ليمون
I am cooking now,أنا كانطبخ دابا
how the story started ?,كيفاش بدا القصة؟
what now,و مالها دابا
he sleeps with braided hair,كايعيش بالشعر
"Yeah, that's too bad",آه، هادشي خايب بزاف
i'm on my way,أنا راه ف طريق
"you're right, it's been a while since we treated ourselves to a nice restaurant",عندك الحق، راه شوية منين مابقيناش درنا فشي ريسطورة زوينة
hopefully you are with them,نتمنى نتا معهم
good evening,مساء الخير
how do you like to relax after work?,كيفاش كيعجبك ت نرتاح من بعد الخدمة؟
you should never clarify more this problem,عمرك تبرز هاد المشكل
how I'am not gonna be afraid,كيفاش مانخافش
excercice by morning,تمرين صباحا
I'am confused,أنا خايبة
didn't you finish,واش ماكملتيش
Can we have a menu please,واش نقدرو واحد ديال لمانيو عفاك
why you dont wanna balance your life,علاش مابغيتيش ت توازن ف حياتك
his hair is full of sand,شعرو كاملين بالرمل
i always wanted to live this kind of nights together,ديما بغيتو نعيشو هاد النوع ديال ليلات معا
sports promotes the overall health,الرياضة كايعزز صحة
our bride has come,راه جات العروسة
Have you tried moving to another city,عمرك جربتي تفرج لبلدة أخرى
"after the day you've passed, that makes sense",من بعد نهار لي كنتي فازي هادشي عادي
your are his wifes,نتا راهو زوجات ديالو
first time on a plane i'm scared,أول مرة ف طيارة أنا خايفة
Have you tried to listen ,عمرك جربتي تسمع ليا
Someone left his scarf,شي واحد خلي ليه شال
I do comtemporary dance and hip hop,كاندير رقصة مؤقتة و هيب هوب
tell the police you got robbed,قول ل البوليس حيت شفتي
I'm cold,أنا بارد
he went to hospital,مشا سبيتار
in her,فيها
what do we do now,أش ندير دابا
no problem bro,ماكاينش مشكل
Change your socks,بدلّا جوربتك
if he goes there,إيلا مشا ليك
"They will look where she went, so they can revise everything",غادي يلقاو فين مشات، باش يعاونو كلشي
we need to change our retour,خاصنا نبدل المراجعة ديالو
Have you tried to heal an animal,عمرك جربتي تبرّي شي حيوان
you escaped last moment,هربتي من آخر لمرة
Would you like to talk about it?,بغيتي ت حدّث على هادشي؟
thank you for asking,شكران على سؤالك
"with only 100dhs left in you bank account, I hope so for you too",مع غير 100 درهم باقي فكاونتك فالبنكة، نتمنى نقدر نعاودك
we had to adapt quickly to the changing dynamics of the game,كان علينا نتأقلمو بزربة مع ديميناميكا كايتبدل ديال لعبة
we will try to solve the problem,غادي نحاولو نحللو ليك
you didnt leave anything else to say,ماخليتيش شي حاجة أخرى تقوليها
me and my sis ,أنا و أختي
"You can count on me, boss!",تقدر تعتمد عليا، أڭاف!
it's so hot today,اليوم سخون بزاف
i will jump from window,أنا غادي نقز من فينسترة
See you next time,نشوفك المرة الجاية
forgive me this time,سمح ليا هاد المرة
sleep and let me sleep,ناعم و خليني نعس
a sea of clouds to drown in,بحر ديال السحاب لي غايغرق فيه
is the documents authentic or original,واش هاد الوثائق صحيين ولا أصليين
it wont bore you,ماغاديش يملكك
the match is canceled,ماتش مسدود
Why don't you want to hit this toddler,علاش مابغيتيش ت تبرّد هاد الدراري
this task left is easy,هاد الخدمة لي خليها سهلة
Can you give me an example?,واش تقدر تعطيني واحد مثال؟
like this,هكا
 you are too late to reach the sumit,تعطلي بزّاف باش توصل ل القمة
History repeats itself,تاريخ تكرر نفسها
you wanan eat it ?,واش بغيتي تاكلها؟
tomorrow,غدا
how do you keep your friendships lasting?,كيفاش كاتبقاو صداقات ديالك عاديين؟
they moved long time ago,راه راه قديما سافرو
You look well!,كاتبان مزيان!
Who are you looking for?,شكون كاتقلب؟
last one there has to pay,آخر واحد لي خايديو ليك
if only i finished my job early,كون غير قدرت نخلص الخدمة بكري
Don't protect him,بلا ما تحميه
go away,سير من هنا
do difficult thing not easyone,دير شي حاجة صعيبة ماشي سهلة
We'll have a garlic butter,غانخدرو زبدة ديال ليه
what made me angry is people arent paying their respects,لي كايغضبني هو أناس ماكايديروش ليهم
we need to  get in line,خاصنا نخلّاو ليا
They will make many tajin servings for dinner.,غايديرو بزّاف ديال تاجين لعشا.
wait me to change my clothes,تسنّا نبدل ليا حوايج
they got could,راه كانو قادرين
don't be bothered,ماتعرضش على هادشي
Look at the bright side,شوف الجانب المشرق
if you present ,إيلا تقدم
Have you tried to focus too much,عمرك جربتي تركّز بزّاف
she lives alone ?,كايعيش بوحدها؟
how is she now ,كيفاش هي دابا؟
You should do the same,خاصك دير داكشي
i hear screaming,كانسمع شي صيح
I eat vegetables only,كانكول غير الخضرا
I dare you to invite them,نتحداك ت عاود عليهوم
When will you come up with a new idea?,إمتا غادي تجي معا فكرة جديدة؟
i put my daughter in the highiest regareds,وديت بنتي ف هاد لبار
are we crying together,واش كايبكي معانا
what her name,شنو سميتها
he doesnt shut up with his mouth,ماكايسكتش فميه
cheers,هاني
how old are you,شحال عمرك
the cost will be cheap,غايكون رخيص
whats the problem,أشنو المشكل
just kidding,غير كايهز
whats project is that,أشمن المشروع هاداك
my city has nothing,مدينة ديالي ماعندها حاجة
take some documents,جيب شي الوثائق
i want to do a project,بغيت ندير شي مشروع
there is still a blockage in the road,باقي واحد الحجّة فالطريق
What have I done to you?,أش ديت ليك؟
Let me turn off light,خليني نطفأ ليا الضو
You don't want to argue with me,مابغيتيش تناقش معايا
at the end he didn,فالأخير ماكملش
i took the heritgae,أنا خديت الورث
if you wanan ask something be serious,إيلا بغيتي تلبي شي حاجة كون جدية
my phone is broken,تليفون ديالي مكسور
i thought that he will blow the houde,كان كيسحاب ليا غادي يفرق هاد لفرقة
"All those French things, always being noticed.","هادشي لي فرنسي, ديما كايلاحظو."
you are in your fifth bottle,نتا ف القرعة الخامسة
Let me paint my nails,خليني نسّنّ ليا مورا
my bosss is a nice person,راه صاحبي ناسّي
soul get out from body,روح خرج من الجسم
why you dont wanna mix the juice,علاش مابغيتيش تحلّلّ العصير
here it is,هاهوا
be attentive you may fall,كون واعر غاتسدّو
he has no lights,ماعندوش لور
we played fairly,تلعبنا معاك
what do you intend to do with them in Paris?,اشنو غاتديرو ليهم فباريز؟
i bought news paper,شريت ليا صحيفة
what did you not understand,شنو مافاهميش
Take this medicine,تاخد هاد الدوا
I dont think i will  invite other people than my friends,مانضنش غادي نستعرض على ناس غير صاحبي
big men are not always strong,رجالا كبار ماعندوش ديما قوة
go on car,سير ف طونوبيل
i lost a lot of people,خسّيت بزّاف ديال ناس
i only say the truth,أنا كانڭول غير الحقيقة
It's not what I expected,ماشي داكشي لي كنت كانتوقع
they look for them,كايقلبو عليهم
Maybe he is sick,إمكن بلي مريض
the team's defense held strong against the opponent's attacks,الدفاع ديال الفرقة كان بقوة ضد هجوم ديال لخصوم
he left kettle on top of fire,خلي ليه البوزان فوق العافية
you are too late to to tie the dog,تعطلي بزّاف باش تربط هاد الكلب
Do you have a scotch tape?,واش عندك شي شريط ديال سكوتش؟
wifi connection is weak,راه فايف تيجش
Let's study together,أجي نقرا معاك
what did i do,أش درت
i dont know what happened,ماعرفتش أش وقع
They are living in a tent.,كايعيشو ف خيمة.
they were envious,كانو حسد
go study,سير قرا
Where did you learn all this?,فين تعلمتي هادشي كامل؟
i want fish bastila,بغيت سمك باستيلا
how's life?,كيداير الحياة؟
i will take care of exportation of fruits,أنا غادي ندير ليك شي واحد ديال الفاكهة
A puff of vegetables,شي خضرا
i didnt understand nothing,ماعرفتني فلاش
i will play basket,أنا غادي نلعب سلة
she went outsode,خرجت من هاد البرد
leave it until the morning,خليها حتى صباح
why you dont wanna get cool,علاش مابغيتيش تبرد
thank god,الحمد لله
did someone ruin your mood,واش شي واحد خايب ليك المزاج
many people healed,بزاف ديال الناس تبرأ
I don't want to lose you,مابغيتش نخسرك
good night dautgher,مساء الخير ألبيت
How do you think we can resolve this?,كيفاش كايدول ليا نقدرو نحلّو هادشي؟
They make a joke of people ,كايسخرو من الناس
Yes start again.,آه بدا من جديد
moon is shining,القمر كايشعل
in case of stopping the elevator between floors,فاش تمسكنا ليك المصعد بين الطوابق
if only I could work in illegal stuff,كون غير قدرت ن خدّم شي حاجة غير شرعية
he is a driver,هو سافير
go find police station,سير تلقا شي مركز ديال البوليس
I'll also have the cake,أنا غادي ناخد الكيكا
we need investor,خاصنا يستثمرو
tell me ,قولي ليا
last time,آخر مرة
Have you tried to aim at someone,عمرك جربتي تستهدف شي حد
you don't really listen to me any more than he ever did,نتا ماكانهمش ليا كاترسي ليا من قبل
dotn change,ماشي تغيير
let us talk in phone,يالاه نتحاورو ف تيليفون
i don't undersant,أنا ماكانتفيش
"Yes, I have just returned from my honeymoon in Chefchaouen",آه، أنا راني رجعت من شهر العسل ديالي ف شافشان
we took the gifts to the bride,دينا الكادو ل العروسة
in summer its hard to find good hall,فصيف صعيب يجد شي قاعة مزيانة
go find a job that gives you halal money,سير لقدي خدمة لي كاتعطيك فلوس ديال الحلال
then they made a stand to draw people for 5 dirham,و من بعد درا شي ستان باش يخرجو الناس ل 5 درهم
why you don't understand,علاش مافهميش
i thought that he went to beach,كان كيسحاب ليا غادي يخرج لبحر
please watch over my shop,عفاك شوف على دكاني
you need to come back to your home,خاصك تعاود لدار
I'm thinking if they will qualify for the finals,تانفكّر واش غايجيبو ل للفينال
just say hi,غير قولي هادي
I'am going to the shop,أنا غادي لمحل
Please,عفاك
i will think and tell you,أنا غادي نفكر ونقول ليك
 you are too late to tell the cops,تعطلي بزّاف باش تخبري لوليس
Maybe you could look at your cell phone.,إمكان فيك ت شوف تيليفوني ديالك.
"2,000 words",2000 كلمة
when do i carry,إمتا أنا كايحمل
how is work going on,كيداير الخدمة
i thought that i will cheat today,كان كيسحاب ليا غادي نخدّع ليوما
she left you alone,خليتك بوحدها
there is problem ,كاين شي مشكل
"Very well, thank you",مزيان بزاف، شكران
"Yes, the nurses gives us massages all the time",آه، الممرضات كايديرو لينا مساجات ديما
you coming to me so I could help you,جايتي ليا باش نعاونك
