Original English,tgt,src
Not that it is my business,ماشي ليشي شي شي ليشي ليا,nothing is going to happen to me
there is a lot of sick people,هاد الكثير من الناس المرضى,this is a lot of sick people
this is not something you say,هادشي هادشي ماتقوله,this is what you say
he is just a pawn,هادشي غير بزّاف,this is only too much
you are so beautiful,هادشي بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,this is extremely heavy and it is extremely expensive
when do i come madam,متي غادي ناتي يامادّا,When will you come
he has hot sauce,ديه صحبة ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,It has a role in the area of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of origin to the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country
my grandma came,واش ليا ليا ليا ليا ليا ديال ليا ليا ليا ليا ليا ليا ليا ليا ليا ليا ليا,do you want me to come to me
i draw today the last picture,رسمنا اليوم آخر صورة,today we painted the last picture
i fell three times,غادي ثلاث مرات,i will do it three times
tomorrow she will be okay,غادي غادي تكون بخير,i will be fine
give me more tea,عطيني المزيد من الشاي,give me more tea
you are too late to bring your son,بزّاف بزّاف بزّاف لتحضر ولدك,too much to get your son
gmail is better,علاش ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,what is the role of the country of the country of the country of the country of the country of the country of the country of the country of the countries of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the
I dare you to do this dangerous operation,تحداك تدير هاد العملية الخطيرة,Your challenge is to run this dangerous operation
good luck to everyone,حظ سعيد لكل واحد,good luck to everyone
go walk in the garden,سيري بزّاف في البستان,go to the garden
i came exhausted,جاوبت بزاف,i answered too much
crying over the dead,نبكي على الموت,cry for death
today i was in training,اليوم كنت في التدريب,today I was in training
I'm ready.,أنا جاهز.,I'm ready.
why are you suprised?,علاش تاخدشي؟,Don't you worry?
my phone is off,هاتفا متوقفا,your phone is off
More than rabbits!,أكثر من الأرانب!,More rabbits!
We're gonna contribute too,نحن سَنُسْخّرُ أيضاً,we'll make fun too
There is no way that I could have stayed any longer at home and looked after myself,ماموجد طريقة كان من الممكن أن نبقا في البيت و نعتني بنفسنا,There's no way we could have stayed at home and taken care of ourselves
i had a bad time with my kid,كان ليا وقت سيئ مع طفلي,i had a bad time with my baby
come to I will present them to you,هادي ليا هاديهم ليك,bring them to you
i'm fed up,أنا غشيت,i cheated
dont go empty handed,ماشي غادي غادي ديال ديال ديال,i will not go to the dial
she told me its destined,قالت لي هادي,she told me
You don't want to build a big house to live in with the whole family,مابغيتيش تبنّي بيت بزّاف ليعيش مع العائلة كلها,You don't want to adopt a house to live with the whole family
the sea is too cold,بزّاف البحر بزّاف,it's too much
I can make one if you want,أنا يُمْكِنُ أَنْ تَجْعلُ واحد إذا تُريدُ,I can make one if you want
what needed to be done,ماشي حاجة نديرها,there is no need to run it
i'm at the appartment,أنا غادي دار ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,i'm going to the dial dial dial dial dial dial
i love you my boy,أنا أحبك يا بني,"I love you, son"
Why don't you want to join me,علاش مابغيتيش نضمك لي,why you don't want to join me
if only i cashed my money,كون غير قدرت مالكي,if only I could save my money
we had fun times,كان عندنا أوقات ممتعة,We had a good time
my friend you are too rude,يا صديقي كنت ودودة جدا,"my friend, I was very friendly"
when he will born i will name him,واش ليا ولدا غادي نسميه,what kind of boy do you call him
i'am waiting for you below,كانتسنّا فيك هادشي,I'm waiting for you
She saw me at the movie theater,واشتني في دار السينما,he went to the movie house
thanks,شكرًا,Thank you
I hit my targets.,ضربت أهدافي.,I hit my targets.
Let me make my hair,خليني نجعّل شعري,Let me make my hair
I'm waiting for you to suffer,كانتسنّا فيك تعاني,I'm waiting for you to suffer
we will participate in a theatrical piece,غادي نشارك في قطعة راهية,I'm going to share a nice piece
Do not say,مانقولش,we don't talk
Haven't you slept well yesterday?,ألم تنمي بزّاف بزّاف يوم أمس؟,Didn't you sleep too much yesterday?
they insulted us,راهونا,bet!
please give me glass of the,من فضلك ناوليني كوب من,Please give me a cup of
"I'm fine, thank you very much",أنا بخير، شكرا جزيلا,"I'm fine, thank you very much"
sorry for being late,راه تاخرت,I'm late
give and take,عطا و خادي,he's on my side
i stopped addiction,غادي نتوقّف بزّاف,I'm gonna stop too much
Don't give him to drive,واش ماعطاه ليقود,didn't give him to drive
listen attentively,غادي غادي يهتف بزّاف,i'm going to cheer too much
good luck,واش,hey hey hey hey hey hey
i think of finishing construction,نفكّر بتشييد,we think about building
if only i catched the train,كون غير قدرت نمشي في القطار,if only I could go on the train
i'am going now,غادي نمشي,I'm gonna go for a walk
i ate warm bread,غادي تاكل خبّا دابا,you will eat the food
i will bring meat make a tajine please,أنا غادي ناج ليك ليه تاجين من فضلك,"i will find you a crown, please"
give me your card,عطيني بطاقتك,give me your card
and it will be covered,و غادي غادي غادي غادي,i will go go go go go
its imperative you save resumes,ديالها تَخْرجُ ديال ديال,she has to go out
Wow great idea.,فكرة رائعة,That's a great idea.
are you insane,واش بزّاف بزّاف بزّاف,it's too much too much
Don't find excuses,ماكانو نوجد هاد الوادر,there were no such things
dont know what to do,مانعرف مانفعله,We don't know what to do
this is correct,هادشي صح,that's right
its like paint,راه راه,it's a lot
We are invited by some people,دُعنا من قبل بعض الناس,we were invited by some people
Let's go to dinner and chat more then,خلين نمشي لعشا و ندردش أكثر,Let's go to dinner and chat more
leave me alone,خليني واش,Let me go
from time to time when he go aboard,مِنْ مرّة لزّاف يَرْكب,from time to time
this Sunday i will visite my fam,هاد اليوم واش غادي ندير ديالي,this day will be my day
he was dressed like a bear,راه كان يلبس كالدببة,he was dressed like a bear
I've been waiting years for the perfect opportunity to tell you that,كنت في انتظار سنوات لفرصة مثالية أن أقول لك هادشي,I've been waiting years for the perfect opportunity to tell you this
i went to north,توجهت شمالا,I'm heading north
i thought that he will join this job,كان ليا ليه ليا هاد الشغل,i had this job
she respect herself and you,هاداها تاخدّر و هاداك,"that's it, that's it, that's it."
i drink coffee,أنا احتسي القهوة,i'm having coffee
without inviting me,بلا حاجة ليا,no need for me
i do what i want,أنا غادي ندير باش حاجة ليا,I'm gonna do something for me
Sugar?,؟,?
what sports do you consider underrated?,ما هي رياضة راهية؟,What's a good sport?
"and working for you, in particular",واعمل عندك، على وجه الخصوص,"I work for you, especially"
help me,عطيني,give me
When are you going to book that hotel for this week or next,متا غادي تحجز فنادق هاد هاد الاسبوع ام التالي,if you want to book hotels this week or the next
who has a question about security number,واش عنده شكّل في ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,He has a dialddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
you didnt sleep yet,مابقيتيش غادي غادي ناعس,I'm not gonna sleep
Let's try Google Maps?,دعونا نجرّب قوقل؟,Let's try Google?
All right!,هادشي,this is it
"Yes, there are going to be two of them!",نعم، هناك سَيصْبُو إثنان منهم!,"Yeah, there's gonna be two of them!"
without getting into work,بلا دخل في العمل,There's nothing to do with work
you should never heal yourself liek this,مابغيتيش تداوي واش تاكد هادشي,You don't want to talk to her
i don't speak politic,مابغيش نتكلّم بزّاف,we don't wanna talk too much
his feet are big,راه بزّاف بزّاف بزّاف بزّاف بزّاف,it's too much. It's too much.
i have candles,عندي شموع,i have candles
For five generations,ديال ديال خمسة ديال,"hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey"
You don't want to wire money,مابغيتيش ندير ليه,you don't want to turn him
I am being serious,أنا جاد,I'm serious
you are so far and you don't have time for me,بزّاف بزّاف و ماعندك وقت ليا,too much and you don't have time for me
may,ليا ديال ليا,i'm waiting for you
he want to marry,مابغيك تزاوج,You don't want to get married
You don't want to cook dinner?,مابغيتيش تطبخ شي شي شي؟,You don't want to cook anything?
What are they?,ماهم؟,What are they?
you wanan count,غادي تاكل,he will eat
his hair is falling,راه واش هادشي,that's why
i have to go pay the supermarket,كان عليّ الذهاب و دفع السوبرماركة,i had to go and push the supermarket
you don't need wealth,مابغيتيش حاجة ثروة,You don't want a fortune
I turned it down,أنا غاديت عليه,i'm mad at him
I'm waiting for you to object to this decision,كانتسنّا بزّافّك لتوقّف على هاد القرار,i'm waiting for you to stop this decision
make another one,خلي واحد آخر,Have another one
don't be stingy,ماشي باش بزّاف بزّاف,It's not too much
he is so competent,راه بزّاف,it's too much
do you have women clothes,عندك ديال ديال لباس نسائي,you have a woman's dress
i need some dates,حاجة بزّاف بزّاف بزّاف,it's too much too much
he is too shallow emotionally,راه ديال بزّاف بزّاف بزّاف بزّاف,it's too much too much
i want you to be better then me,مابغيتك تكون أفضل واشني أنا,I don't want you to be better
she told me what happened,قالت لي ما حدث,she told me what happened
this film is classical,هاد الفيلم كلاسيكي,this film is classic
everythign wandering,كُلّ تَرْك,all leave
you should never expand the class,مابغيتيش تنوّع الصف,You don't want to mix class
if only I could stutter so the teacher helps me,كون غير قدرت غادي تاتر فهاد المعلمة تساعدني,if only I could see this teacher help me
did you open up,واش فتحتي ليا,Why did you open up to me
that woman is nice ,راه راه راه راه راه,he's a good guy
why you dont wanna eat sfenj,علاش مابغيتيش تاكل سفينج,why don't you want to eat a sponge
without buying a paint bucket,بلا شراء دلو ديال الدهان,dont buy the paint bucket
if only i mixed two songs,كون غير قدرت مزج ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,if only I could mix the dialdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
okey goodbay,راه راه راه بزّاف,it's too much
just be patients we wil lcall you,كونوا مرضى واش نناديك,be sick if I call you
And then there was no more ice-cream to eat at all!,و من ثم ماشي بزّاف بزّاف تاكل على الإطلاق!,and then it's too much to eat at all!
Do you understand?,هل فهمتي؟,Do you understand?
i searched everywhere,وفتّشنا في كلّ مكان,We searched everywhere
that doctor's daughter,بنت ديال ديال ديال ديال ديال,"I'm a girl, I'm a girl, I'm a girl, I'm a boy, I'm a girl"
you went abroad,سافرتي بزّاف بزّاف,you have gone too far
What are you saying ,ماتقولين؟,What do you say?
Arabic is coran's language,اللغة العربية هي لغة كوران,Arabic is the language of Koran
Have you tried to gather the brothers,عمرك جربتي جمع الأشقياء,Have you tried to collect the bad guys
appreciate the fans and good lycj,راه باش و راه ليك جيّد ليك,it's good for you
I'm waiting for you to lose quickly,كانتسنّا باش تخسّر بزّاف,I'm waiting for you to lose too much
i like tajine of chicken,أنا أحب تاجين ديال ديال ديال ديال ديال ديال ديال,I like to make a dial to the dial to the dial to the dial
You are on mute,هادشي على راسك,this is on your head
if only I could elevetae my kids well,كون غير قدرت ندير أطفالي بزّاف,if only i could manage my children
they will ruin everything,هم سَيَخرّبونَ كُلّ شيء,They'll ruin everything
let me present myself first,خليني نتقدّم نفسي أولا,Let me introduce myself first
where are you at,أين كنت فيك؟,Where have I been?
if only I could speak enjoyt this vacation,كون غير قدرت نتكلّم مستمتع هاد العيد,if only I could talk to this holiday
the sofa is big,صوفا كبيرة,big wool
Your skin won't absorb it ,جلدك لا يستوعبه,your skin doesn't understand it
"Just shut up, people like shouldn't be allowed to talk ",مجرد اسكت، ناس مابغيش مايسمح لهم بالتكلم,"Just shut up, people don't want to talk"
What?,ماذا؟,What?
Don't cut the cake,مابغيتيش نقطع كيكة,You don't want to cut cake
Have you tried to  interact with the fans,عمرك جربتي تتفاعلي مع المعجبين,Have you tried to interact with fans
no one know that this will happen,لا أحد يعلم أن هادشي سيحدث,no one knows this will happen
"About the meat and fish, I'm also going to take a few things for vegetarians",واش لحم و سمكة، أنا أيضا غادي ناخد بزّاف بزّاف ديال نباتية,"Meat and fish, too. I'm going to take extra vegetarians"
I want to know why are you crying,مابغيت عارف علاش تبكين,I don't want to know why you are crying
i want a pasterie,واش نبغي فهاد ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالها ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالها ديال ديال ديال ديال ديال ديال,I want to do this dial dial dial dial dial dial dial dial dial
i ate the remaining,كان ليا ماتبقى,i had nothing left
I dont think he will go eat lunch,مانضنشش غادي ي غادي غادي,i don't think i will
That's really hilarious,هادشي هادشي هادشي,this is what this is about
this person is chivalrious,هاد الشخص راه بزّاف,this guy is too much
i will find it myself,غادي نجدها ليا,we will find her
don't tell anyone about this,واش ماتخبرو أي واحد عن هادشي,Don't tell anyone about this
i had a bad day,كان ليا نهارا كئيب,i had a bad day
thursday,عيد العيد,Christmas
I was sleeping what seen,كنت ناوم باش راه,i was sleeping with him
it's not him,ليس هو,It's not him.
Which country did you enjoy the most?,في أي بلاد استمتعت بزّاف؟,Which country did you enjoy too much?
"the children are so noisy, I'm afraid they are going to scare away the ducklings",هاد الأطفال صاخب جدا، خشيت نخّادير بزّاف بزّاف بزّاف,"These kids are so loud, I'm afraid I'm too good"
Let me peel eggs,خليني نشوف بزّاف,Let me see too much
ok let's go eat outside darling,واش نتا غادي نا غادي ناكل خارج ديال ديال,do you want to eat outside of the dial
he don't wake up early,واش مايستيقظو بزّاف بزّاف,they won't wake too much
I'm just here,أنا هنا فقط,I'm just here
this is the kid i want,هاد هو الطفل الذي أريده,this is the baby I want
told him my dad wook up,راه ليا ليا ديا ليا غادي ليا,he saw him for me
we didnt study philosophy,واش ندرس فلسفة,we're studying philosophy
leave me and see her,خليني و تريها,Let me see it
you should never yell at me,مابغيتيش تهتّم عليّ,You don't want to take care of me
I've got my aches and pains but at 93 I can't grumble,كان عندي واش والام و لكن في الـ 93 أنا مانستطيع تشمّل,i had a mom and a mom but at 93 i can't eat
has sheep utensils,راه غادي غادي ديال,i will go
"Damn, I blew up the steaks",غادي باش باش تا غادي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,do you want to do a dial dial dial dial dial dial dial dial dial dial
she is in the beach with her friends,كانت على الشاطئ مع اصدقائها,she was on the beach with her friends
"hey, i was thinking, it's been a while since we went out to a nice restaurant",كانت تفكّر، مرّت فترة منذ أن خرجنا إلى مطعم رائع,"She was thinking, it's been a while since we went to a great restaurant"
why you don't sleep early,علاش مانبغيش نعس بزّاف,I don't want to sleep too much
The car is fixed,هادشي هاد السيّارة,this car
Do you study English?,واش تدرس اللغة الانجليزية؟,do you study English?
reading fill your time,قراة غادي تا تايك,i want to talk to you
it could have been worse,كان من الممكن أن يكون أسوأ,It could have been worse
dont aim at me with a big rock,مابغيشي ليا مع صخرة كبيرة,you don't want me with a big rock
i thought that  you will go easy on him,فكّرت أنّك غادي تهدّد عليه,I thought you were threatening him
and other 4 chairs,و 4 كراسي أخرى,4 more chairs
I dont think i block you,مانضنش غادي نقطعك,i dont think i will cut you
meaningful,هادشي,that's why
he comes in time,هادشي بزّاف,this is too much
"I think I was supposed to be attending, too, except it doesn't appear on my schedule.",كان من المفترض بي أن أخدم، أيضا، ما عدا أنّه ماشي على جدولي.,"I was supposed to work, too, except that he didn't work on my schedule."
here they are,هاهم هنا,here they are
told him where are we heading,قال ليه فين نتوجّه,he told him where to go
i changed now,غادي نغيّر ليا,we will change
god helps me,الله ليا غادي ليا,my god will give me
We're all forced to live together,غادي نسكن معا,i will live together
she is 1m40cm,راه بزاف بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,"It is too much, too much, too much, too much, too much, too much, too much."
there is half hour left,بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف ساعة,It's too much. It's too much an hour.
study well its imprtant,راه راه ديال ديال ديال ديالها,it's a dial dial it
they should spend equally,هادشي راه راه,this is what he saw
this market is weekly,هاد السوق ديال ديال ديال ديال,this market is a fair market
i sold it there is no problem,غادي نبيعها ماعندك مشكلة,we'll sell it if you have a problem
you are too late to leave,واش تاخرت باش ترحل,I'm late to go
make a good offer,راه بزّاف,it's too much
you never took me to se her,مابقيتي تاخديني نديرها,you don't keep me running it
stay in your city,سكن في مدينتك,live in your city
you will keep living alone,غادي نحافظ على عيشك وحيدين,i will keep you alone
be quiet,هادشي,this is it
all the colors suit you,راه الالوان بزّاقك,it's colorful
without buying a new comb,من دون شراء مشط جديد,without buying a new comb
Why do we learn about History?,علاش نتعلّم على التاريخ؟,Don't we learn history?
those are the family of the groom,هاد عائلة العريس,this is the groom's family
There is no point being grumpy at home,ماشي حاجة غادي غادي في البيت,there's no need to go home
you should never cut the video,مابغيتي ماقطعتي الفديو,You didn't want to make the video
he will bring me a tacos,سيحضر لي ليا تاكو,he will bring me a taco
i will not follow this learning approach,مابغيتيش نتبع هاد الدارسة,You don't want to follow this school
just relax,غادي نرتاح,i will rest
And the nurses were not happy because they thought there was a fire in the establishment,و كانت الممرضات غير سعيدات لانهم ظنوا أن هناك نار في دار,And the nurses weren't happy because they thought there was a fire in a house
i don't ask,ماكان ماطلبه,I didn't ask him
go to pray,واش نوصلي,will you pray
sorry - just before going to bed,واش قبل أن نخلد للفراش,i will go to bed
wait i'm going to  change up soon,فين غادي نغيّر معاك بزّاف,where are we going to change with you
I'm waiting for you to punsish him,كانتسنّا فيك تهزّي ليا,i'm waiting for you to shake me
i'll have fish,أنا غادي يكون عندك سمكة,i'm gonna have a fish
come on guys,هادّو ياشباب,"this is it, guys"
Sorry Chef!,غادي غادي ديال الشيف!,I will go to the chef!
i like your dress,أنا أحب لباسك,I love your dress
Oh... who should I invite?,واش غادي ندعوا؟,will you pray?
i will do you good,غادي نديرك,I will turn you
you need to cut down food,مابغيتيش تقصّي غادي,you don't wanna check on me
When was it sold ? I put 20 dirhams on it.,واين كان يباع واضع عليها 20 دراهم,Where he was selling 20 drs
I'm waiting for you to agree with the businessman,كانتسنّا فيك تفقّد مع رجل الأعمال,I'm waiting for you to check with the businessman
no one can oppress me,مامن أحد يقدر يسخر مني,Nobody can laugh at me
dont lower your bars,مابغيش تدّر بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,You don't need to go too far too far
I have a younger brother,عندي أخ صغير,I have a little brother
"Hello, I am great thank you",مرحبا، أنا عظيم شكرا لك,"Hi, I'm great. Thank you."
she is a blame,واش راهة,what are you talking about?
we will fix this first,غادي نصلح هاد أول,i will fix this first
its not a ptovlem,راه ماشي هاد بزّاف بزّاف,this isn't too much
wake up early,استيقظي بزّاف,Wake up too much
you need to be tough,عليك أن تكون قاسيا,you need to be tough
always happy,هادشي بزّاف,this is too much
not only life resting,واش تا ندير ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,we run a dialddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
only,كونو غير حيين,be alive
I'm waiting for you to enjoy your vacation,كانتسنّا فيك لتستمتع بزّافتك,I'm waiting for you to enjoy your hospitality
i think of if these colors are any good,كانفكّر لو كانت هادا الالوان هادشي هادشي جيّد,i thought if these colors are good
It was only a matter of time.,كانت فقط مسألة وقت,It was only a matter of time
by the way,على طول الطريق,all the way
this gonna take all my energy,هاد هادشي غادي تاكل طاقتي,this is why i will eat my energy
you are lucky,كنت محظوظا,i was lucky
Why don't you want to give me the cake,علاش مابغيتيش تعطني كيكة,why don't you want to give me a cake
you brought roses,جتيتي بزّاف بزّاف,you've come too far
good team and talented players,فريق جيّد ولاعبين موهوبين,good team and talented players
i want a tajne,مابغيتيش تاجن,You don't wanna go to school
i'm waiting for you control your kids,كانتسنّا بزّاف باش تتخلّم باطفالك,I'm still waiting for you to give up your kids
we are not in the center,مانكنّا في الوسط,We're not in the middle
i will enclose this place,أنا غادي نلقا هاد المكان,i'm going to meet this place
this father is harsh,هاد الأب قاس,this father is cruel
You don't want to minimize that smile on your lips,مابغيتيش تاقلّل من تلك الابتسامة على شفتيك,You don't wanna sneeze on your lips
may we find better people,علّا نجد ناس أفضل,Let's find better people
Why don't you want to the get healed,علاش مابغيتيش تا باش شفي,Why don't you want to heal
they'll be right back,غادي يعودو بزّاف,they'll come back extra
I'm not taking this the wrong way,أنا ماكنتخدش هادشي طريق خاطيء,i wasn't scratching this wrong road
i had hives after eating fish,كانت ليا بزّاف بعد أن أكلت سمكة,I had a lot after I ate a fish
My day sucked,نهاري غادي,my day is going
why are you crying,علاش تبكي,Don't cry
"However, now that he's aware of his power, he also goes after my friends because they're girls",ومع ذلك، الآن بعد علم بقواه، يذهب أيضا بعد الأصدقاء ديال ديال ديال البنات,"And yet, now that he knows his powers, he goes also after friends are girls"
if you cant buy sheep dont,واش ما تقدرش تا باش ماشيششش,why you can't do this
be a man,كن رجلا,Be a man
he is honest with good people,راه مع ناس طيبين,he is with good people
we sat,غادينا,we're gonna go
this weird what you talk about,هادشي هادشي ماتحدثتي عنه,this is what you talked about
i want a hard coffe,مابغيته هو فكهف فاسّة,I didn't want to laugh
we dont talk,مابقينا نتكلّم,We haven't spoken
i'am in the road,أنا في الطريق,I'm on my way
she is not going out today,هي ماخرجت اليوم,she didn't come out today
he gave me all the time,واعدني كل الوقت,promise me all the time
Don't look too much,مانبغيت باش بزّاف بزّاف,I didn't want to go too far
what did you do to me,ماذا فعلت ليا؟,what did you do to me?
I dont think that glass will suffice,مانضنش غادي نخشش بزاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,i dont think i'm too afraid of too much too much of too much of too much of too much is too much of too much of too much
I like your work,تروق لي عملك,i like your job
everyone mind his own business,راه كل واحد يدير عمله الخاص,everyone is running their own business
he don't want to come to us,مابغيه مابغيش ياتو بنا,you don't want to bring us
will you go to market,غادي تذهب لسوق,i will go to the market
i wake up early,غادي نستيقظ بزّاف بزّاف,I'm going to wake up too much
i'am printing pages of country where i lived,أنا غادي ندير نواة ديال ديال ديال ديال ديال ديال ديال ديال ديالي,I'm gonna run a dialysis on a dialysis
Don't  take a motobike,واش تاخد دراما,do you take drama
we have save people,عندنا ننقذ الناس,when we save people
I am learning italian,أنا تعلّم إيطالي,i'm learning Italian
With the map we would have quickly found the quickest way to the best restaurant in the area.,مع الخريطة كنا واجدنا بسرعة أسرع طريق إلى أفضل مطعم في المنطقة.,With the map we found the fastest way to the best restaurant in the area.
i teust you dont disappoint,غادي تاخدش مايخيّب,i'm gonna take care of what's wrong
i had an interview today,كان عندي مقابلة اليوم,i had an interview today
every guest has a small gift,كُلّ ضيف عِنْدَهُ هبة صغيرة,Every guest has a little gift
my husband came,واش ليا بزاف ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,what are you doing in the field of the country of the country of the country of the country of the country of the country of the country of the country of the countries of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the country of the
if you have money give some,لو كان عندك مال تعطي ليه,if you have money to give him
come here now,هاتي هنا الآن,bring it here now
finally,,
we both think like this,راه نفكّر هادشي,I think of this
every week,كُلّ بزّاف,it's all too much
if only i choosed this shirt,كون غير قدرت نختار هاد القميص,if only I could choose this shirt
she is a brownie,هادا شيدنيا,this is our plan
my husband makes a living,راه ليه ليه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,this has to do with the dial of the dial of the dial
"A lot of people are literate, but they don't have a firm consciousness.",الكثير من الناس يجيدون القراءة، ولكن ماعندهم ديال الوعي.,"a lot of people are good at reading, but they don't have consciousness."
he is your rival,هو منافسك,He is your competitor
Their friends is really skilled at the techniques.,أصدقاءهم ماهرون جداً في التقنيات,their friends are very good at technology
go find the ball,غادي واغدّي ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,go and give me a dialdddddddddddddddddddddddddddddddddddddddddddddddddddddalddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
The doctor gave me a check-up last week and said I was as fit as a fiddle.,الطبيب اعطاني فحص الاسبوع الماضي و قال ليا كان ليا كحلية.,the doctor gave me a test last week and he told me he had an ankle.
I want to go to Ifran,مابغيت نمشي مع لودران,I don't want to go with Lorran
"That's sweet, but you know what it's like at my age",راه حلو، لكنّك تَعْرفُ كيف يكون في عمري,"He is sweet, but you know how he is at my age"
you are too late to appeal,عمرك تاخرت بزّاف,you are too late
and you still talking,و لازالت تتكلّم,And she's still talking
i wont settle ,راه تا باش,what is it?
i told you final words,قال ليك بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,he told you too much too much too much
"Anybody, Just make sure you avoid door number 6",ليا أيّ شخص، تأكّد باش تتخلّص من الباب رقم 6,"anyone, make sure you get rid of door number six"
no its no suitable,ماشيش ماشي ماشيش هادشي,you don't want to do this
You don't want to rush,مابغيتيش تهرّع,you don't want to rush
fight off you stupids,واش نتقاتل معاك يا غبّا,Don't fight with you idiot
this is human nature,هادشي ديال الطبيعة البشرية,this is human nature
go to the other side,سيرا على الجانب الآخر,go to the other side
i wish i could transform my nightdreams into real life adventures,كنت أتمنى لو كان بإمكاني تحويل أحلامي الليلية إلى مغامرات حياة حقيقية,i wish i could turn my night dreams into real life adventures
Friday,فونت غادي,i'm gonna go
"I have a lot of water, though.",عندي الكثير من الماء، مع ذلك.,"I have a lot of water, though."
I am spent,غادي غادي,I'm gonna go
"Oh, yes, I would",أوه، نعم، أنا كُنْتُ,"Oh, yeah, I was"
this is original product,هادا منتج أصلي,this is an original product
Why dont you want to  scratch the glass,علاش مابغيتيش خدش الكوب,Why don't you want to scratch the cup
look my friend,راه يا صديقي,my friend
I dont think  i will go to gym with you,مانضنش غادي نمشي معك لرياضة,I don't think I'm going to go to sports with you
I want to change my life,كنت أريد أن نغير حياتي,I wanted to change my life
you should never be arrogant,مابغيتيش تتكترّر,You don't want to be late
