tgt,src
 i dont like that,مابقيتش هادشي
thinking until i made my decision,كانفكّر حتى قرّرت ديالي
I dont think i will  wcalm you down,مانضنش غادي نديرك
Have you tried becoma  a coach,عمرك جربتي شي مدرب
thanks madam,شكرا
Let me find a name,خليني نجد اسم
Is it always the same voice?,هادا هو دائما نفس الصوت؟
I trust you completely,كنت اثق بك بزّاف
open your eyes,افتح عينيك
Do you work here every day?,واش تعمل هنا كل يوم؟
"Good morning, Doctor",صباح الخير، طبيب
You're absolutely right,كنت على حق تماما
my sister is muscular,واختي عازبة
this bath is way too hot,هاد الحماة حارة بزّاف
Congratulations on your graduation,مبارك على تخرّجك
i will play,أنا غادي نلعب
i studied with him,درات معاه
please wake us,ارجوك خلّصونا
We've got to get to the bar,دينا نمشي للحانة
i have a rdv with client,عندي ديال ديال لزبون
we didnt do it,ماكنّا مافعلنّا
tell them that you lost the bag,قل لهم أنّك فقدت الكيس
first thing,هادشي
I miss you my wife,أشتقت ليك بزوجتي
i don't have many followers,ماعندش بزّاف بزّاف
we go south,مشينا جنوبا
i thought that he will show me the exam,كان كانضنو غادي يريني إمتحان
he is too dramatic,راه درامي بزّاف
just drink some sugar,فقط إشرب بعض السكر
this project is beneficial,هاد المشروع مفيد
i will wait for you favor,أنا غادي نخدمك ديال ديالك
i wish we eat cold watermelon,ليتني كنا ناكل البطيخة الباردة
you are too late to fix your mistakes,تعطلت بزّاف باش تدبّر ليك
bring a cig,جلب ليك ليا ليك بزّاف
 you are too late to grow up,تعطلي بزّاف بزّاف
if only I could solve this problem,كون غير قدرت نسوي هاد المشكلة
reduce perice,خسّر بريس
you became a employee,واش غاديتي كعاملة
I dont think the fly will go away,مانضنش غادي تحوّل
one scope of sugar ,مجوعة واحدة من السكر
his country has history,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
"i've been trying to adult, but my inner child keeps resisting",كنت أحاول أن نراشد، ولكن ديالي ديال ديال الطفل ما زال يقاوم
i went to a camp and didnt like,سيرت لخيمة واش ماعجبت
Perhaps with Chantilly cream?,علاش مع قرعة شانتيلي؟
you are too late to go up,تعطلي بزّاف باش تصعد
 You took too much time to empty the room,غادي تاقت بزّاف تا غادي تا غادي غادي تا غادي
Don't get me wrong,واش مافهمني غلط
there is too much wind,راه بزّاف بزّاف ريح
this what i think,هادشي مافكرت فيه
I dare you to sue hil,أنا أتحداك تقاضي هيل
I see that you are trying to defend him,واش نشوفك تحاولو تدافعو عليه
i'm too tired sis,أنا مُتعّب بزّاف بزّاف
keep the mood,غادي ندير ليا المزّاف
when did you book the flight?,متي كتبت الرحلة؟
A white or a rosé?,أبيض أم روش؟
we need to fix it,خاصنا نصلحها
I will reduce the price for you,غادي نخفض السعر لك
It's always like that.,هو دائما هكذا
i saw you busy,راه راك تمشّط
the thing you were looking for you won't find here,أشي ماكنتي تبحثي عنه ماكانش تجدي هنا
you only do trouble,مابغيتيش ليك
i want to eat,بغيت ناكل
i have god,عندي الله
She has never been abroad,واش كانت في الخارج
they miss no one,واش مايفتقدو شي واحد
May God grant you health too,ليك الله عطاك صحتك
"And besides, we don't have a signal",و مع ذلك، ماعندنا إشارة
You don't want to stand out,مابغيتيش تشوفي
do you like to cook or order in?,مابغيتيك تطبخي واش تطبخي؟
i played all day long,ولعبت طوال النهار
we hit the road to school,مشينا في طريق المدرسة
I throw it and I weaken the fire. As if it's boiling I move it away ,نرميها واش نهدّر النار واش ليا غادي يغلي ليا نبعدها
Perhaps we could use them as a starter and then do a meat dish.,ربّما يمكننا استخدامهم كبداية و من ثمّ ندير صحن لحم.
a young boy,ولد صغير
some,واش باش بزّاف
i wanan right something,هادشي شي شي شي شي حاجة
minute,فين
The matter is clear,هادشي بزّاف
Whisky?,واينسكي؟
tell me you are kidding,قل لي أنك تمازحني
If I do any more I'm going to start going really barmy.,واخا غادي نبدا غادي ندير شوية بزّاف
Why don't you want to teach your kids well,علاش مابغيتيش تعلّم أطفالك جيّد
I will make you beautiful,أنا غادي نخلقك بزّاف
he always criticize,راه دائما ينتقد
the view is breathtaking,هاد المنظر راه
no one asked me,ماطلب منّي أحد
he's trying a new recipe for dinner,راه يجرب وصفة جديدة على العشاء
yes i study remotely,أجا ندير ليا بزّاف
"No, you're not going to sing!",لا، مانبغيتش تغنّي!
I am learning chinese,أنا نتعلّم اللغة الصينية
i fought the thief but he robebd me ,حاربت اللص لكنّه عبّد ليا
Why dont you want to congratulate him for his accomplishment,علاش مابغيتيش تهنّئه على تابوته
call him so he can take care of your claim,ناداه كي يعتني بزافتك
did i hurt you,واش جرحتك
remember when we'd challenge each other to see who could hold their breath longer?,تتذكّر واش كنّا نتحدّا نشوفو من يقدر يحبس أنفاسهم؟
"Everything's gonna be okay,",كُلّشي كُلّشي سَيصْبَح بخير،
he has nice smile,راه ابتسامة راه
the teacher read the lesson,المعلم قرا الدرس
Just to be clear,كون غير غير واضح
be shameful,راه عار
is this the first time in morocco,هاد أول مرة في كومركو
he is being bad with me,راه غادي يغيظّر ليا
Do you know if there is a cafe close by to here?,واش تعلمو ماشي مقهى قريب من هنا؟
It was lovely seeing you again,كان من السرور أن نراكم مرة أخرى
we passed a good times,مرينا بزّاف بزّاف
I miss you mom,أشتقت لوالدتي
gold is expensive,ذهب بزّاف
i stay off road,مابقيت غير الطريق
who with me,واش ليا
did you came to me,واش تاتا ليا
they ill not accept,راهوم مايقبلو
education make you grow up,راه تا غادي تا نمّو
whats your grade,أشنو لصفك
why don't you want to take this prize,علاش مابغيتيش تاخد هاد الجائزة
this boy works with us,هاد الولد يعمل معانا
I'll have a coffee,أنا غادي ناخد قهوة
i thought that he needed materials,كان ليا غادي ليا حاجة ليا بزّاف
If you're very sure,واش كنت متأكد
aeroport is full,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
you can need money sometimes,واش باش حاجة بزّاف بزّاف بزّاف بزّاف
tell me what happend,قل لي ما حدث
It's Julie!,هادي جولي!
can you open the classroom,واش تقدري على فتح الفصل
That is an important question,هادشي هاد سؤال مهم
its not to this point,راه ماشي هادشي هاد النقطة
I like dimples,أنا أحب الديمبلات
yes that's what's up,نعم هادشي هادشي هادشي هادشي
we want you to wake up and go with us,نبغيك تصحو و تمشي معانا
bring me my son please,جلب ليا ابني من فضلك
i bought menth,شريت ليا ديال ديال
there is not a magic way,ماشيش طريقة سحرية
She pushed her and fell down the stairs.,داباها وسقطت من على السلالم
When are you going to book that hotel for this week or next,متي غادي تدوّن هاد الفندق ديال هاد الأسبوع أو تالي
if only I could  make a godo juice,كون غير قدرت ندير عصير
"Yes, a lot to see in South America",نعم، الكثير ليراه في أمريكا الجنوبية
he is a communist,هادشي ديموقراطي
dont yell at her,واش مايصرخ عليها
"Thank you, ma'am, can I sign the presence sheet first?",شكرا، يا سيدتي، يمكن ليا نوقّع هاد لزّاف أولا؟
Have you ever prayed in a mosque?,عمرك صليت في مسجد؟
how about you get off your intellectual high-horse and get back to reality for a bit,واش تخرجي من هاد الفكري وتعودي للواقع لبرهة
"Besides, we were too expensive",إضافة، كنّا غاليين جدا
the way you talk is hard,الطريقة التي تتكلّم بها هادشي
"Okay, great!",راه، عظيم!
It is moving now and here is floor two.,هادشي هاد هاد هو الطابق الثاني.
Let me cook dinner,خليني ندير عشاء
talk without keeping quiet,بلا ثرثرة واش هادشي
i should answer her,غادي نجيبها
depends on the company,يعتمد على الشركة
tasteful harira,راه راه راه راه راه
if only i played in tabagoon,كون غير قدرت نلعب ف الوليمة
leave this place alone,خلو هاد الماكنة
he looks for problem,كان يبحث عن مشكلة
I'm trying,أنا غادي نجرب
she focused on her,ركّزت عليها
you have no humanity,ماعندك ديال البشرية
you should never eat salade outside,عمرك تاكلي الوليدة في الخارج
THey will serve men better than women again,تاي سيخدمو الرجال أحسن من النسوة مرة أخرى
i thought that he will do what i do,كان كيسحاب ليا غادي ندير هادشي
his life has changed,حياتة تغيّرت
you are too late to wait,تعطلي بزّاف باش بزّاف باش تتقدّم
I talkedto my work friend,تَكلّمتُ مع صديق عايشي
I'm sorry to intrupt you,أنا غادي نغيّب عليك
go fix the sink,مشي ليا نصلح المغسلة
Without cleaning the sky with a cloth.,بلا تنظيف السماء مع القماش.
what wrong with you again ?,أشنو علا معاك مرة أخرى؟
you know now,راه عارف هادشي
today there is a riot,اليوم هادشي ديال ديال ديال ديال ديال
this is not the right place for this talk,هادشي ماشي ليا ديال هادشي هاد الحديث
what did she do,واش عاينت
Do you have any preferences?,واش عندك تفضيلات؟
i met a nice girl,إلتقيت بفتاة راهبة
he doesnt like me,راه ماعجبني
They're planning to come next year,كانو ينوّخّو لتأتي العام القادم
wow!,نجاح!
let me imagine now,خليني نتخيّل الآن
people like you live on hell,ناس كحالك تعيش في الجحيم
do you need help?,واش تحتاجي عونا؟
Why don't you want to paint your house,علاش مابغيتيش ترسم ديالك
Don't find a solution,واش ماوجدو حلا
there are maids,هادي خدام
a big truck hit a boy,شاحنه كبيره ضربت ولد
Last week,الأسبوع الماضي
lets start girl,خلا نبدا بنت
i dont like living here,مابغيش العيش هنا
she insulter me,راه تهين ليا
cant you be confident,مايمكنش تاكون واعين
pl bro,پير
follow what I told you,تابعي ما قلت لك
You print under an alias or your real name?,تطبع تحت اسم مستعار أو اسمك الحقيقي؟
our turn,دارنا
you are not made for this,ماكونتيش ختيش هادشي
take him with you,خده معاك
until her daughter sits,حتّى تجلّس بنتها
rent price has increased,بزّاف بزّاف بزّاف
I'm comming soon I'm going to pack my bag,أنا غادي نمشي واش غادي نجمع كيسي
Are there any other managers on her level,واش هناك مديرين اخرين على مستواها
i lost a prediction,خسّنت تنبؤ
he wont let her wife do what she wants,واش مابغيش لها ديال ديال ديال ديال ديالها
we will get you a shot,غادي نوصلك لطلقة
charge the phone,هاد التليفون
i will bring it down,أنا غادي ننزلها
i will break your mood,أنا غادي نكسر مزاجك
Try a piece of our best steak.,جرّب قطعة من أفضل شريحة لحم خاصتنا.
nail cutter,راه راه بزّاف
can i put the plate on the table,واش نقدر ندير الصحن على المنضدة
I know the way well,أنا عارف الطريق بزّاف
Have you tried to do a small project,عمرك جربتي ديال مشروع صغير
her mother bought hum phone,أمها اشترت ليها تيليفون
if only I could show you,كون غير قدرت نشوفك
swear to god,إقسم على الله
You're leaving for a holiday?,غادي تسافر لعطلة؟
you are too late to to set your goals,تعطلي بزّاف باش تحدّد اهدافك
mosquitos come at night,بعوضة تاتو في الليل
thing that i was counting on didn't succeed,شي كان نعوّل عليه مانجحت
without you starting to get angry,بلا بزّاف باش تغاضب
I will not finish,أنا مانكمل
i call you ,أناديك
look to his spouse,راه بزّاف
Do you want me to keep you company?,واش مابغيتي ليا نحافظ على صحبتك؟
why don't you want to hit on this girl,علاش مابغيتيش تغازلي هاد الفتاة
doesnt she appear nice and shy,واش مابغيتها تشوف و تهتّم
I was going to suggest that too!,كنت غادي نقترح ليا هادشي!
I think if i could improve the machine,كانفكّر واش نحسّن الماكينة
and you turned to be a jerk ,وا غادي تا غادي تكون رغيف
what do i do now,واش ندير هادشي
she gave birth,راه ولدت
I'm waiting for you to import the goods,كانتسنّا باش تستورد ليك بزّاف
the beach is too fat,الشاطيء دسمة بزّاف
he didnt wanna learn,مابغيش يتعلم
theend of month,واش نهاية الشهر
I'm going to work,أنا غادي نخدم
I have half hour left to go out,عندي نصف ساعة باقي ليخرج
he can,راه يقدر
i left you a good team,خلّيت ليك فريق جيّد
I dry my hair,غادي نهض شعري
my face is bloated,هاد الوجه راه
i'm waiting for you stop joking around,كانتسنّا فيك توقّف عن المزاح
I dont think  he will get mad at me,مانضنش غادي يغضب مني
you can bring them,واش تقدري تاخدو ديالهم
october,شوية
those who brought,هادشي جاين
where are you going,فين غادي
If I had a car ,لو كان عندي سيّارة
You don't want to buy something fresh,مابغيتيش شري شي حاجة طازج
the rooftop is big,السطح كبير
why you dont wanna eat  ,علاش مابغيتيش تاكل
i'am going to seasonal event,أنا غادي نمشي لحدث موسمي
thats not what we do,هادشي مانفعله
That's for sure!,هادشي مؤكّد!
I dare you to  execture the murderer,تحداك تاخدّر القاتل
I've just checked that date on Google,راجعت ليا هاد التاريخ على جوجل
and it will be covered,و غادي غادي نغطّي
go cook for the guests,تقدّم ليا غادي تا غادي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
and i desired rfissa,واغويت فريسة
It's going to rain this week. ,هو غادي يمطر هاد الأسبوع.
The dog is loyal,راه الكلب ليا ليا
what time are you going to the bus station?,فين غادي نمشي لمحطة الباص؟
he knows what good for you,راه عارف شي خير ليك
Or fish eggs - you didn't say what kind they were.,أو بيضة سمكة، ماقلتيش ليا ديال ديالهم.
But I think it's getting harder for me in time,و لكن كانضن ليا غادي يصعّب ليا بزّاف
yes how much will work last,ليا باش باش نخدم باش باش بزّاف
what happened,راه راه راه راه
do you think it is for my benefit?,واش باش باش هادشي فهادي؟
Have you managed to calm down for lunch?,واش تقدري تهدا غادي؟
i thought that he asked me ,كان كيسحاب ليا غادي يسألني
I dont think he will picture this sihting,مانضنش غادي يصوّر هادشي
I met with respectable girls.,تلاقيت مع فتيات محترمات
you should never stock chocolate,مابغيتيش تسرّع الشوكولاتة
I dont think that glass will suffice,مانضنش غادي نحسّ بزّاف
i thought that he has a prefered child,كان كي كان ليه ولد مفضّل
i wont forgive you,مابقيتش غادي يغفر ليك
your foot is big,قدمك كبيرة
you clsoe to them,واش ليا واش ليا هادشي
Have you got bread to give?,واش عندك خبز تعطيه؟
"Hello, what can you lose in this evil forest?",مرحبا، مايمكن أن تخسر في هاد الغابة الشر؟
the leaves are changing colors,ديال الأوراق تغيّر ألوانها
let me open the door,خليني نفتح الباب
beside them,واش بزّاف
no pretty faces,بلا وجهين جميلين
What's that got to do with it?,ما دخل هادشي معاها؟
god save them,الله يحفظهم
he plays in professional match,راه يلعب في مباراة محترفة
you should never bring a book,عمرك تتي بكتاب
he is looking for what to eat,كان يبحث عن مايأكل
i will take you to the imam,غادي نوصلك ل الإمام
Let's get out of the room quickly!,خلينا نخرج من الغرفة بسرعة!
Enjoy your daughter!,تمتعي ببنتك!
I dont think i will fix your clothes,مانضنش غادي نصلح لباسك
sister,ختي
give me what are useful,علّميني ماهو مفيد
it was like a scene from a movie,كان كمسرح من فيلم
See you next time,نراكم المرة القادمة
you will mix it with milk,غادي نخلطها بالحليب
It would go faster and it's still chic!,راه سير بزّاف و مايزال أنيق!
you shouldn't have done this,ماكان مابقيتيش تفعل هادشي
you are too late to go to your house,تعطلي بزّاف باش تشوف دارك
if you did not understand us we will make you understand,واش ماتفهمنا غادي نفهمك
You don't want to catch the thief,مابغيتيش تقبض على اللص
what do you desire this year,أشنو هاد العام
how much i have please,واش بزّاف عندي من فضلك
i started the car,واش بدات ليا السيّارة
of your home,ديال ديالك
I got back to home,واش رجعت لدار
go to your grandpa,سيري مع جدك
I've learned a lot from you this evening,علّمتك بزّاف بزّاف بزّاف هاد اللّيلة
everyone yells,راه كلشي يهتف
he got taken by the river,تا غادي في النهر
you are right,هادشي ليك حق
go have a run in the beach,راه سيرو ف الشاطيء
the souk is crowded I rode a horse,سوك مكتظ رست فرس
Can you translate it for me?,واش تقدري ترجمتها ليا؟
I mean a blackberry sauce to go with the pigeon.,أشنو صلصة بلاك التوت ليمشي مع الحمامة.
I'm sorry I fell a sleep yesterday,أنا آسف أنا غادي غادي نتا غادي ننام بزاف
"Sell at whatever price you want, These are your wares. ",بيعي بزّاف بزّاف تبغي، هادشي فلوسك.
they won't notice,ماكانهمش ينوّهو
the client is asking,الموكل يسأل
What should I do?,واش غادي ندير؟
So here I am,ها أنا هادشي
we will cal you,غادي نوصلك
you are too late to pay your bills,تعطلي بزّاف باش تدفع فلوسك
I dont think i will prefer my son over my daughter,مانضنش غادي نفضل ولدي على بنتي
Have you tried negotiatiing with im,عمرك جربتي تبارح مع آيم
he give up,راه يتخلّى
i close it and it opens,أنا غادي نغلقها و نفتحها
Did he cook dinner?,واش طبخ شي شي شي شي؟
i got robbed yesterday,واش غادي غادي خسّر بزّاف بزّاف بزّاف
i need to borrow marmite,خاصني نستعير مارميت
did you cook dinner,واش طبختي ليك عشائا
You seem to have had difficulty with the equations,بدا ليك كان عندك صعوبة مع المعادلات
this is old,هادشي قديم
she caught me,واش تاخدش ليا
i thought that he will inspire me,كان كيسحاب ليا غادي يلهمني
"We only have local beer, wine comes from Bordeaux",ماعندنا غير بيرة ديال، نبيذ من بوردو
I'm waiting for you to confess,كانتسنّا فيك باش تقبّل
I think if take the milk before it spoils,تانفكّر واش ناخد الحليب قبل أن يغيّر
he has assurance for his car,ديه ضمان لسيارته
i was swimming in the pol,أنا كنت سبحت في البول
Have you tried to annoy your friends,عمرك جربتي باش تزعجي اصدقائك
i will prepare to go,أنا غادي نستعد نمشي
he ate before he went home,راه قبل أن يذهب لبيته
What are you supposed to be doing??,واش من المفترض عليك أن تفعل؟
i'm amazed of how we managed to turn things around in the second half,أنا مندهشة من كيف كان قدرنا نديرو في النصف الثاني
eat what you want,كلي مابغيتيه
Do you know?,واش تعلم؟
None of my business,ماشيش من عمل ليا
dawar is empty,ديوار خاوي
i think of showing off,كانفكّر في تمارين
I like to take challenges,بغيت ندير ليا بزاف
Mr.,سّيد.
if only I could hit him with the mop,كون غير قدرت نضربه بالممسحة
i wont come ,مابقيتش غادي نمشي
you are too late to suprvise,تعطلي بزّاف باش تتخلّص
why are you racist,علاش نتا ديال ديال ديال ديال ديال ديال ديال ديال
see you tonight,نشوفك الليلة
i thought that  he wil ldo what his mother asked,كان كيعرف ليا غادي يدوّر ليا ماطلبته منه امه
the girl is nice,هاد البنت راهبة
you dont listen to me,واش ماسمعتيش ليا
the wifi isnt working,ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
A detective novel?,سيرة محققة؟
hey,هادشي
if  only i withstand noise,كون غير قدرت نتحمل ضجيج
i love you,أنا أحبّك
if only I could mix these two books,كون غير قدرت ن نخلط هاد الكتابين
"But you're gonna have to do the same, you guys, do the same thing.",ولكن كان عليك أن تفعل نفس الشيء، يا رفاق، تفعل نفس الشيء.
I recored all my thoughts in a notebook,كرّرت كُلّ أفكاري في دفتر
don't be stupid,واش ماكن بغيتيش
i stroke my friend,أنا غادي ندير ليا صديق ليا
her mother cooked her a delicious tajine,أمّها طبخت ليها تاجين لذيذة
I didn't met him,أنا ما قابلته
explain please,واش ليك فسر ليا
you are too late to buy sunscreen,تعطلي بزّاف بزّاف لشراء شراية شمسية
he has a huge talent,عنده موهبة كبيرة
it seems you like it here,راه كايعجبك هنا
Where did you go this year?,واين ذهبتي هاد العام؟
he is an Italian,راه إيطالي
dont waste this opportunity,ماكاناش نضيع هاد الفرصة
this programme is accurate,هاد البرنامج دقيق
you know more then me what he like,عرفتي بزّاف بزّاف باش يغيّب
this is good content,هادي هادشي مزيان جيّد
at the end he said bad news,بزّاف قال ليا بزّاف بزّاف
Why don't you want to reassure me,علاش مابغيتيش تطمئنيني
you are very sensitive,هاداك حسّاس جدا
you need to take some rest,خاصك ترتاحي بزّاف
you go with bad people,سير مع ناس أشرار
I dont think they will suffer more,مانضنش غادي يعاونو بزّاف
I am tired of my work,أنا مللت من عملي
Why don't you want to object to this mess,علاش مابغيتيش تعرضي على هاد البلاطة
i understand what you say,فهمت ماتقولينه
sort off... it is like the photos of her as a young woman,راه راه راه هاد صورها كشابة
no problem,بلا مشكلة
i like the city,كانعجبني المدينة
its not my cup,هادشي ماعندي
he don't like this bullshit,ماكان مايحب هاد الفارغ
"Oh come on, I've had enough of getting burnt in the sun and doing crosswords",هيا، كان عندي ما يكفيني من الاحراق في الشمس واش ندير الجمل المتقاطعة
if only I could make my parents happy,كون غير قدرت نجعل والديّ سعيدين
I'm waiting for you to color this circle,كانتسنّا فيك ت تلوين هاد الدار
i dont want my son to have a mother like you,مابغيتيش يكون لولدي ام مثلك
What do you suggest then?,واش نقترح هادشي؟
without repeating this task from the beginning,بلا تكرار هاد المهمّة من البدايه
she give birth today,تلد اليوم
not everyone eat leftovers,راه ليا غادي ناكل ليا ديال ديال ديال ديال
Does he play tennis,واش يلعب تينس
I can write,أنا يُمْكِنُ أَنْ كتّب
I dont think i will fix the door,مانضنش غادي نصلح الباب
he will come sick again,غادي يمرض مرة أخرى
Why dont you want to call for pray,علاش مابغيتيش تدعوا
don't try,مابغيتيش نجرب
i will pay you in the end of the week,أنا غادي نديرك في نهاية الأسبوع
we managed to find gaps in the opponent's defense and exploit them,إستطعنا نا نا نا نا غادي نا غادي نا ديال ديال الخصم و ناغيهم
What happened?,اشنو ليه؟
we sat,غادينا غادي
w rain yesterday,واش تمطر البارح
I'll be back,غادي نرجع
Let me close him,خليني نوصله
the case is not case of money,الحالة ماشي حاجة من المال
this is a good news,هادشي خبر سار
Time goes by so fast,الوقت يمر بزّاف بزّاف
delicious food,طعام شهي
I'm going upstairs,أنا غادي نصعد
go watch them,سيرو واش راهم
I think of staying up,كانفكّر باش نبقّو
you can enter with your shoes,واش تقدر تدخلي بحذائك
I can't believe it,مانقدرش نصدقها
its been 5 month i'm sick,واش خمسة شهر أنا مريض
Why don't you want to determine what you want,علاش مابغيتيش تفقّر شي حاجة
if only I could provoke her,كون غير قدرت نقنعها
Thank you for talking,شكرا على الكلام
he told you yes,قال ليك نعم
its bad to lie,راه خايف ليا راه
my sister worked this whole holiday,اختي عملت هاد العطله
who still didn't give up heat,واش مابقا مايتخلّو فهادشي
he felt everything,كانحسّن كلشي
dont stay wandering outside,مابقيتي تتجول في الخارج
I dont think he will go to academia,مانضنش غادي يذهبو لدار الاكاديمية
it been a while since we watched a movie together,كانت فترة طويلة منذ أن شاهدنا فيلما معا
i dropped my phone in the sea,راه تليفوني في البحر
Normal. He got her in midst of other women. ,عادي، واخاها بزاف غيرك
can you come to zoo now,واش تقدر تاتي لحداة راه
is not your home alone,هادشي ماشي دارك بوحدك
i dont think he will sew new clothes,مانضنشش غادي يخيّط ملابس جديدة
if only I could jix myself,كون غير قدرت نا غادي غادي غادي
what did you not understand,واش مافهمتيش مافهمتيش
It must have been a really tough day,حتمًا كان نهاراً قاسياً جدّاً
of people going out of prison,واش ناس خرجو من السجن
And the map.,والخريطة.
he is a scammer,راه هادشي
"For tonight's meal, we're waiting for 10 people",لوجبة اللّيلة، كنّا في انتظار 10 ناس
Have you tried to change your attitude,عمرك جربت تغيّر موقفك
don't pretend you are sorry,مابغيش تا ندام
whats the time now,راه هاد الوقت
this place is dirty,هاد الماكلة قذارة
he is there,هادشي
we are counting on you,واش نعوّل عليك
john went to the store,جون ذهب للمحل
this is an old story,هادشي قصة قديمة
they want to get me married,مابغيهم ليا تزوّجني
he is in good mood,راه بزّاف بزّاف
 you are too late to stope choking,تعطلي بزّاف باش تتوقّف تخنّق
go to that shop,سيري ليا هاد الدكان
Why don't you want to work at the aeroport,علاش مابغيتيش تعملي في المرفأ
I wish you haved help me,ليت غادي تساعديني
god help us,ليه الله عونانا
i cant sleep,ماقدرتش ننام
or we can also invite the nurse that I ran into when I came in,أو يمكننا أيضا أن ننادي الممرضة التي قابلتها عند دخولي
you are too late to fill in the walls,تعطلي بزّاف باش تملأ الحوائط
i love this kouskous,أنا أحب هاد كيوسكوس
they did not give him his rights,واش ماعطوه حقوقه
he wants to go abroad,ليا غادي يسافر ليا بزّاف
I'm cheering for my team,أنا هتفا لفرقتي
they're a great way to learn about different topics,ديالهم طريقة عظيمة لتعرفو على مواضيع مختلفة
i think of exporting this,كانفكّر ندير هادشي
I'm just an extra baggage,أنا مجرّد متاع إضافيّة
like tomatos,كايه الطماطم
why are you going crazy,علّا تخيّن بجنّون
she's cooking pasta,ديالها تطبخ الباستا
because of her bad mouth,بسبب فمها الساطع
Is this Mr. Mohamed,هادا سيد محمد
i dont think you will get along,مانضنش غادي تمشي معاك
he is excited he has good grading,هادشي راه راه بزّاف
if everyone respected drive rules,كونو كل واحد يحترمو ليهديرو ليه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
You don't want to paint the house,مابغيتيش تزيّن البيت
i slept ko this night,أنا غادي نتا هاد الليلة
warm the water please*,راه راه راه راه راه
I'd like to bring Chikhat in... do you think the bartender would accept?,أود أن نجلب شيخات في... هل كنت تعتقد الباري غادي يقبل؟
rainbow,هادشي هادشي
we need some focus,خاصنا حاجة بزّاف بزّاف
i came her to complain,جاتا ليها تتشكي
isn't my right also,ماشي بزّاف ليا
He went swiming at the beach,كان يسبح على الشاطيء
he went to  work in the morning,ذهب ليعمل في الصباح
i will stay just in here,أنا غادي نبقى هنا
"Okay, if I have any questions, could I email them to you?",حسن، لو كان عندي أيّ أسئلة، يُمْكِنُ أَنْ نرسلها إليك؟
that's all,هادشي هادشي
when did you have your breakfast?,متى كان عندك فطورك؟
this changed me a lot,هادشي غيّر ليا بزّاف
god save them,راه ليا الله
this student is diligent,هاد التلميذ راه
I'll get the racquets,أنا غادي ندير المراكيت
"Maybe a little worried, too?",ربّما قلق قليلا، أيضا؟
Have you tried to fall in the trap,عمرك جربتي تا غادي في فخ
a bit,واش باش بزّاف
what do you want,واش بغيتي
come hold my hand,واش تدّو ليا يدّي
"It's more of a pub than a bar, but you should be able to book a space",هادشي حانة غير بار، ولكن عليك أن تكون قادر على تأليف الفضاء
lets go madam,خلينا نمشي يا سيدتي
i dont kniow yet,أنا ماتش ندير بعد
november,راه بزّاف بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
what are you waiting for,أشتا غادي تا بزّاف
there were no telephones,ماكانو كاتليفونات
me also I will go to sleep,ليا غادي نخلد للنوم
Now they hate me because they think it's my fault,هادنو كرهوني لظنو هاد غلطتي
go  write your name,سيري سيرا واكتبي ليك اسمك
what did he say ,واش قال ليه
please write it down,واش نكتب هادشي
i was afraid,كنت خايف
he is the silent type,راه هادشي هادشي
we did a collective breakfast,درنا فطور جماعي
Have you tried to split the heritage,عمرك جربتي تقسّم التراث
i bought a dress ,شريت لباس
Behave well you will have a reward .,كونوا طيبين عندك بزّاف بزّاف بزّاف
go drink meds,سير واش شرب ديال ديال ديال ديال ديال ديال ديال
give your family some time,عطي عائلتك بزّاف
"Especially Amina, she's my favorite.",خاص خاصّة عايمة، هي المفضلة عندي.
i thought that he will make good assumption,كان كيسحاب ليا غادي يبني ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
what's your favorite season and why?,ماهو موسمك المفضل و لماذا؟
I ate three frogs and two snails,أنا غاديت ثلاثة ضفادع و اثنين حلزون
but he didnt want to separate from his friends,ولكن مابغيش يفرق بينه واصدقائه
He is thirsty,راه عطشان
ok to keep pc ?,راه باش نحافظ على ديال ديال ديال ديال ديال؟
if only I could go to beach,كون غير قدرت نمشي لشاطيء
if you ever need something here is the money,واش بغيتي شي حاجة هادشي هاد الفلوس
I won't eat the berries,مابقيتش ناكل فهاد التوت
you should never try this game,عمرك تجربي هاد اللعبة
i live alone for a long time,أنا أعيش وحدنا لوقت طويل
go with us or go away,سيري معانا أو سيري
